Label (Grouping),"Census Tract 901, Suffolk County, Massachusetts!!Estimate","Census Tract 901, Suffolk County, Massachusetts!!Margin of Error","Census Tract 902, Suffolk County, Massachusetts!!Estimate","Census Tract 902, Suffolk County, Massachusetts!!Margin of Error","Census Tract 907, Suffolk County, Massachusetts!!Estimate","Census Tract 907, Suffolk County, Massachusetts!!Margin of Error","Census Tract 909.01, Suffolk County, Massachusetts!!Estimate","Census Tract 909.01, Suffolk County, Massachusetts!!Margin of Error","Census Tract 910.01, Suffolk County, Massachusetts!!Estimate","Census Tract 910.01, Suffolk County, Massachusetts!!Margin of Error","Census Tract 911, Suffolk County, Massachusetts!!Estimate","Census Tract 911, Suffolk County, Massachusetts!!Margin of Error","Census Tract 912, Suffolk County, Massachusetts!!Estimate","Census Tract 912, Suffolk County, Massachusetts!!Margin of Error","Census Tract 913, Suffolk County, Massachusetts!!Estimate","Census Tract 913, Suffolk County, Massachusetts!!Margin of Error","Census Tract 914, Suffolk County, Massachusetts!!Estimate","Census Tract 914, Suffolk County, Massachusetts!!Margin of Error","Census Tract 915, Suffolk County, Massachusetts!!Estimate","Census Tract 915, Suffolk County, Massachusetts!!Margin of Error","Census Tract 916, Suffolk County, Massachusetts!!Estimate","Census Tract 916, Suffolk County, Massachusetts!!Margin of Error","Census Tract 917, Suffolk County, Massachusetts!!Estimate","Census Tract 917, Suffolk County, Massachusetts!!Margin of Error","Census Tract 918, Suffolk County, Massachusetts!!Estimate","Census Tract 918, Suffolk County, Massachusetts!!Margin of Error","Census Tract 919, Suffolk County, Massachusetts!!Estimate","Census Tract 919, Suffolk County, Massachusetts!!Margin of Error","Census Tract 920, Suffolk County, Massachusetts!!Estimate","Census Tract 920, Suffolk County, Massachusetts!!Margin of Error","Census Tract 921.01, Suffolk County, Massachusetts!!Estimate","Census Tract 921.01, Suffolk County, Massachusetts!!Margin of Error","Census Tract 922, Suffolk County, Massachusetts!!Estimate","Census Tract 922, Suffolk County, Massachusetts!!Margin of Error","Census Tract 923, Suffolk County, Massachusetts!!Estimate","Census Tract 923, Suffolk County, Massachusetts!!Margin of Error","Census Tract 924, Suffolk County, Massachusetts!!Estimate","Census Tract 924, Suffolk County, Massachusetts!!Margin of Error","Census Tract 1001, Suffolk County, Massachusetts!!Estimate","Census Tract 1001, Suffolk County, Massachusetts!!Margin of Error","Census Tract 1002, Suffolk County, Massachusetts!!Estimate","Census Tract 1002, Suffolk County, Massachusetts!!Margin of Error","Census Tract 1003, Suffolk County, Massachusetts!!Estimate","Census Tract 1003, Suffolk County, Massachusetts!!Margin of Error","Census Tract 1005, Suffolk County, Massachusetts!!Estimate","Census Tract 1005, Suffolk County, Massachusetts!!Margin of Error","Census Tract 1006.01, Suffolk County, Massachusetts!!Estimate","Census Tract 1006.01, Suffolk County, Massachusetts!!Margin of Error","Census Tract 1006.03, Suffolk County, Massachusetts!!Estimate","Census Tract 1006.03, Suffolk County, Massachusetts!!Margin of Error","Census Tract 1007, Suffolk County, Massachusetts!!Estimate","Census Tract 1007, Suffolk County, Massachusetts!!Margin of Error","Census Tract 1008, Suffolk County, Massachusetts!!Estimate","Census Tract 1008, Suffolk County, Massachusetts!!Margin of Error","Census Tract 9901.01, Suffolk County, Massachusetts!!Estimate","Census Tract 9901.01, Suffolk County, Massachusetts!!Margin of Error"
            Less than 10 minutes,59,±49,0,±95,113,±70,13,±19,29,±28,56,±71,74,±57,0,±95,9,±14,69,±59,6,±15,40,±47,32,±41,53,±53,94,±67,54,±68,20,±25,2,±5,13,±22,83,±62,8,±14,24,±39,162,±162,18,±29,158,±109,163,±101,159,±111,0,±95
            10 to 14 minutes,118,±77,44,±45,142,±84,55,±37,51,±39,150,±78,181,±104,57,±52,26,±29,104,±64,26,±30,28,±34,59,±63,24,±28,37,±41,217,±144,7,±11,63,±67,216,±108,152,±100,27,±41,49,±44,95,±67,291,±109,111,±69,262,±124,237,±122,0,±95
            15 to 19 minutes,95,±73,67,±58,113,±60,68,±51,67,±58,217,±120,90,±56,45,±29,34,±40,147,±72,63,±51,32,±38,42,±35,58,±52,89,±64,172,±92,95,±61,87,±77,90,±65,110,±54,41,±45,162,±69,138,±132,96,±80,111,±63,194,±86,295,±152,0,±95
            20 to 24 minutes,201,±93,34,±33,113,±70,77,±44,180,±82,184,±94,44,±39,77,±57,91,±55,127,±55,149,±141,124,±67,122,±56,33,±34,122,±76,71,±52,58,±45,172,±92,82,±60,141,±88,56,±44,165,±104,289,±188,242,±99,49,±42,188,±88,509,±246,0,±95
            25 to 29 minutes,26,±42,7,±12,64,±60,47,±63,62,±44,70,±75,158,±135,8,±16,0,±95,76,±67,86,±45,0,±95,73,±67,0,±95,27,±31,45,±53,12,±19,0,±95,90,±61,25,±41,44,±41,27,±41,138,±78,237,±120,44,±31,173,±100,118,±90,0,±95
            30 to 34 minutes,105,±63,19,±23,168,±92,128,±54,235,±103,208,±119,123,±69,56,±48,78,±73,77,±40,110,±68,77,±67,173,±97,215,±105,170,±88,429,±249,177,±80,126,±98,252,±154,158,±106,83,±50,53,±57,134,±99,289,±158,113,±83,280,±138,291,±142,0,±95
            35 to 44 minutes,9,±13,0,±95,37,±35,49,±37,97,±62,33,±36,2,±8,4,±9,5,±14,103,±94,35,±35,70,±58,104,±75,27,±35,57,±54,248,±125,75,±52,76,±72,25,±40,76,±66,121,±103,131,±107,26,±35,110,±63,71,±80,134,±137,74,±65,0,±95
            45 to 59 minutes,32,±31,0,±95,72,±57,50,±52,88,±66,18,±24,30,±24,10,±15,55,±38,70,±44,106,±60,35,±38,177,±136,74,±49,25,±26,105,±80,59,±51,85,±62,31,±37,28,±32,101,±65,36,±41,162,±98,167,±151,82,±60,110,±69,103,±91,0,±95
            60 or more minutes,44,±45,15,±17,47,±51,25,±29,0,±95,38,±35,13,±23,0,±95,0,±95,51,±40,11,±17,14,±21,67,±59,96,±66,34,±46,135,±104,33,±28,0,±95,10,±18,53,±47,7,±13,14,±23,37,±39,35,±45,9,±18,22,±24,48,±46,0,±95
        Carpooled:,191,±96,200,±87,124,±75,85,±52,118,±73,335,±138,238,±94,89,±63,151,±100,262,±152,40,±41,139,±74,195,±157,150,±95,285,±107,526,±230,213,±95,124,±80,427,±239,111,±106,118,±81,162,±118,110,±77,143,±92,46,±42,169,±93,162,±85,0,±95
            Less than 10 minutes,0,±95,0,±95,0,±95,6,±20,0,±95,0,±95,0,±95,0,±95,0,±95,48,±65,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,24,±38,12,±22,0,±95,0,±95,0,±95,25,±41,0,±95,12,±20,0,±95,0,±95,17,±27,0,±95
            10 to 14 minutes,0,±95,11,±19,30,±33,31,±37,0,±95,53,±65,37,±55,5,±13,28,±34,23,±34,0,±95,0,±95,0,±95,0,±95,69,±62,36,±46,6,±10,20,±30,54,±88,32,±45,37,±41,24,±41,0,±95,0,±95,28,±44,0,±95,13,±24,0,±95
            15 to 19 minutes,32,±40,74,±58,9,±14,22,±29,0,±95,0,±95,120,±80,8,±20,26,±30,31,±34,10,±16,0,±95,13,±22,21,±27,20,±28,0,±95,15,±24,7,±11,43,±48,59,±63,0,±95,40,±43,0,±95,0,±95,0,±95,25,±27,66,±57,0,±95
            20 to 24 minutes,50,±62,26,±42,43,±50,15,±17,40,±45,98,±64,23,±25,32,±31,18,±27,79,±72,0,±95,55,±48,15,±26,44,±36,92,±72,169,±127,0,±95,34,±36,33,±36,20,±33,0,±95,47,±47,0,±95,11,±22,0,±95,71,±72,44,±49,0,±95
            25 to 29 minutes,22,±26,29,±35,0,±95,0,±95,12,±18,9,±16,10,±15,0,±95,27,±32,0,±95,0,±95,0,±95,109,±144,21,±31,19,±25,0,±95,5,±13,0,±95,39,±48,0,±95,27,±42,0,±95,23,±35,19,±22,8,±14,28,±36,0,±95,0,±95
            30 to 34 minutes,37,±47,35,±36,29,±38,0,±95,66,±58,101,±74,27,±28,2,±12,25,±39,70,±73,5,±10,33,±38,58,±52,32,±45,48,±42,174,±129,99,±69,39,±53,147,±138,0,±95,45,±57,16,±20,64,±60,33,±53,0,±95,10,±16,0,±95,0,±95
            35 to 44 minutes,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,25,±35,0,±95,0,±95,0,±95,0,±95,18,±32,0,±95,10,±21,0,±95,0,±95,0,±95,0,±95,0,±95,25,±35,0,±95,0,±95,0,±95,0,±95
            45 to 59 minutes,23,±31,0,±95,13,±23,0,±95,0,±95,63,±61,14,±24,5,±11,12,±21,11,±17,0,±95,0,±95,0,±95,32,±38,24,±30,111,±90,40,±42,2,±10,50,±76,0,±95,9,±16,0,±95,0,±95,33,±38,10,±17,20,±31,0,±95,0,±95
            60 or more minutes,27,±30,25,±28,0,±95,11,±17,0,±95,11,±17,7,±12,37,±38,15,±24,0,±95,0,±95,51,±40,0,±95,0,±95,13,±22,18,±29,24,±28,0,±95,61,±71,0,±95,0,±95,10,±15,23,±31,10,±22,0,±95,15,±24,22,±33,0,±95
            In 2-person carpool:,156,±89,149,±77,93,±61,52,±46,118,±73,291,±120,224,±95,48,±44,126,±88,189,±125,40,±41,88,±50,161,±121,107,±63,239,±101,306,±194,158,±85,100,±74,219,±169,111,±106,99,±78,79,±65,87,±70,111,±84,46,±42,161,±92,162,±85,0,±95
                Less than 10 minutes,0,±95,0,±95,0,±95,6,±20,0,±95,0,±95,0,±95,0,±95,0,±95,48,±65,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,24,±38,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,12,±20,0,±95,0,±95,17,±27,0,±95
                10 to 14 minutes,0,±95,11,±19,30,±33,31,±37,0,±95,53,±65,37,±55,5,±13,28,±34,23,±34,0,±95,0,±95,0,±95,0,±95,69,±62,36,±46,6,±10,20,±30,54,±88,32,±45,30,±39,24,±41,0,±95,0,±95,28,±44,0,±95,13,±24,0,±95
                15 to 19 minutes,32,±40,74,±58,9,±14,0,±95,0,±95,0,±95,120,±80,8,±20,26,±30,12,±17,10,±16,0,±95,13,±22,21,±27,20,±28,0,±95,15,±24,7,±11,17,±27,59,±63,0,±95,0,±95,0,±95,0,±95,0,±95,25,±27,66,±57,0,±95
                20 to 24 minutes,37,±58,0,±95,12,±21,15,±17,40,±45,98,±64,23,±25,13,±22,18,±27,79,±72,0,±95,24,±20,15,±26,44,±36,59,±58,134,±116,0,±95,34,±36,13,±21,20,±33,0,±95,47,±47,0,±95,11,±22,0,±95,63,±71,44,±49,0,±95
                25 to 29 minutes,0,±95,19,±31,0,±95,0,±95,12,±18,3,±10,10,±15,0,±95,27,±32,0,±95,0,±95,0,±95,96,±118,0,±95,19,±25,0,±95,5,±13,0,±95,10,±17,0,±95,27,±42,0,±95,0,±95,12,±19,8,±14,28,±36,0,±95,0,±95
                30 to 34 minutes,37,±47,20,±27,29,±38,0,±95,66,±58,63,±63,27,±28,2,±12,0,±95,16,±23,5,±10,33,±38,37,±39,32,±45,35,±37,56,±77,52,±46,39,±53,125,±134,0,±95,33,±54,8,±14,64,±60,33,±53,0,±95,10,±16,0,±95,0,±95
                35 to 44 minutes,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,25,±35,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95
                45 to 59 minutes,23,±31,0,±95,13,±23,0,±95,0,±95,63,±61,0,±95,0,±95,12,±21,11,±17,0,±95,0,±95,0,±95,10,±16,24,±30,62,±76,40,±42,0,±95,0,±95,0,±95,9,±16,0,±95,0,±95,33,±38,10,±17,20,±31,0,±95,0,±95
                60 or more minutes,27,±30,25,±28,0,±95,0,±95,0,±95,11,±17,7,±12,20,±19,15,±24,0,±95,0,±95,31,±22,0,±95,0,±95,13,±22,18,±29,16,±26,0,±95,0,±95,0,±95,0,±95,0,±95,23,±31,10,±22,0,±95,15,±24,22,±33,0,±95
            In 3-or-more-person carpool:,35,±34,51,±52,31,±45,33,±33,0,±95,44,±49,14,±24,41,±34,25,±39,73,±61,0,±95,51,±56,34,±48,43,±49,46,±54,220,±134,55,±52,24,±27,208,±180,0,±95,19,±22,83,±65,23,±35,32,±38,0,±95,8,±13,0,±95,0,±95
                Less than 10 minutes,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,12,±22,0,±95,0,±95,0,±95,25,±41,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95
                10 to 14 minutes,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,7,±12,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95
                15 to 19 minutes,0,±95,0,±95,0,±95,22,±29,0,±95,0,±95,0,±95,0,±95,0,±95,19,±32,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,26,±41,0,±95,0,±95,40,±43,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95
                20 to 24 minutes,13,±20,26,±42,31,±45,0,±95,0,±95,0,±95,0,±95,19,±21,0,±95,0,±95,0,±95,31,±45,0,±95,0,±95,33,±39,35,±54,0,±95,0,±95,20,±31,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,8,±13,0,±95,0,±95
                25 to 29 minutes,22,±26,10,±17,0,±95,0,±95,0,±95,6,±12,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,13,±28,21,±31,0,±95,0,±95,0,±95,0,±95,29,±45,0,±95,0,±95,0,±95,23,±35,7,±12,0,±95,0,±95,0,±95,0,±95
                30 to 34 minutes,0,±95,15,±23,0,±95,0,±95,0,±95,38,±45,0,±95,0,±95,25,±39,54,±55,0,±95,0,±95,21,±33,0,±95,13,±20,118,±108,47,±50,0,±95,22,±35,0,±95,12,±20,8,±14,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95
                35 to 44 minutes,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,18,±32,0,±95,10,±21,0,±95,0,±95,0,±95,0,±95,0,±95,25,±35,0,±95,0,±95,0,±95,0,±95
                45 to 59 minutes,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,14,±24,5,±11,0,±95,0,±95,0,±95,0,±95,0,±95,22,±35,0,±95,49,±44,0,±95,2,±10,50,±76,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95
                60 or more minutes,0,±95,0,±95,0,±95,11,±17,0,±95,0,±95,0,±95,17,±29,0,±95,0,±95,0,±95,20,±33,0,±95,0,±95,0,±95,0,±95,8,±13,0,±95,61,±71,0,±95,0,±95,10,±15,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95
    Public transportation (excluding taxicab):,795,±215,279,±115,871,±205,650,±174,447,±133,"1,062",±233,495,±150,260,±129,338,±150,627,±182,506,±190,675,±213,517,±174,613,±208,950,±273,"1,163",±351,474,±142,616,±251,867,±160,976,±336,526,±172,328,±124,898,±228,996,±334,126,±81,338,±112,784,±209,0,±95
        Less than 10 minutes,11,±15,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,7,±13,0,±95,14,±22,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,0,±95,8,±17,0,±95,0,±95,0,±95,30,±35,0,±95
        10 to 14 minutes,0,±95,0,±95,25,±30,9,±14,0,±95,0,±95,0,±95,21,±33,0,±95,0,±95,0,±95,9,±15,0,±95,0,±95,20,±33,33,±55,0,±95,0,±95,0,±95,12,±21,0,±95,0,±95,48,±76,0,±95,3,±7,0,±95,0,±95,0,±95
        15 to 19 minutes,9,±14,0,±95,70,±98,42,±39,11,±18,22,±27,17,±25,3,±7,23,±31,33,±43,12,±22,0,±95,0,±95,0,±95,115,±81,42,±64,33,±56,18,±28,29,±46,43,±57,34,±43,0,±95,0,±95,0,±95,0,±95,0,±95,20,±33,0,±95
        20 to 24 minutes,91,±85,67,±62,93,±71,18,±29,80,±73,216,±142,56,±63,0,±95,22,±40,116,±67,0,±95,74,±56,18,±31,54,±50,62,±62,109,±106,55,±44,113,±67,0,±95,23,±38,4,±9,0,±95,40,±47,124,±85,0,±95,10,±16,21,±33,0,±95
        25 to 29 minutes,57,±43,0,±95,38,±31,48,±30,43,±39,186,±86,8,±14,21,±24,10,±22,9,±14,134,±119,26,±37,16,±25,0,±95,38,±39,48,±43,7,±11,8,±12,0,±95,70,±57,16,±24,18,±29,35,±51,1,±2,0,±95,12,±21,136,±84,0,±95
        30 to 34 minutes,47,±32,67,±56,395,±167,302,±111,92,±47,317,±147,80,±58,134,±113,48,±50,113,±83,82,±66,235,±109,138,±96,125,±71,301,±130,248,±134,156,±91,132,±103,81,±75,269,±128,84,±76,35,±42,252,±150,132,±104,39,±47,0,±95,56,±48,0,±95
        35 to 44 minutes,41,±43,18,±21,37,±33,45,±48,102,±58,69,±69,110,±74,27,±23,102,±83,32,±37,50,±60,44,±41,32,±41,50,±41,127,±97,225,±181,0,±95,30,±35,0,±95,70,±78,47,±36,16,±25,76,±73,198,±137,22,±28,53,±59,127,±85,0,±95
        45 to 59 minutes,157,±87,46,±66,92,±69,148,±105,81,±63,150,±72,98,±100,11,±16,116,±59,142,±73,56,±45,221,±128,96,±68,156,±94,60,±57,253,±225,112,±66,104,±78,220,±116,146,±104,81,±46,61,±75,243,±136,103,±80,34,±35,166,±61,192,±113,0,±95
