Label (Grouping),"Census Tract 1009, Suffolk County, Massachusetts!!Estimate","Census Tract 1009, Suffolk County, Massachusetts!!Margin of Error","Census Tract 1010.01, Suffolk County, Massachusetts!!Estimate","Census Tract 1010.01, Suffolk County, Massachusetts!!Margin of Error","Census Tract 1010.02, Suffolk County, Massachusetts!!Estimate","Census Tract 1010.02, Suffolk County, Massachusetts!!Margin of Error","Census Tract 1011.01, Suffolk County, Massachusetts!!Estimate","Census Tract 1011.01, Suffolk County, Massachusetts!!Margin of Error","Census Tract 1011.02, Suffolk County, Massachusetts!!Estimate","Census Tract 1011.02, Suffolk County, Massachusetts!!Margin of Error","Census Tract 9811, Suffolk County, Massachusetts!!Estimate","Census Tract 9811, Suffolk County, Massachusetts!!Margin of Error"
                45 to 59 minutes,25,±28,0,±19,0,±19,0,±13,40,±64,0,±13
                60 or more minutes,40,±42,0,±19,33,±53,1,±18,70,±98,0,±13
            In 3-or-more-person carpool:,117,±103,67,±68,116,±100,27,±42,84,±67,0,±13
                Less than 10 minutes,0,±13,0,±19,0,±19,27,±42,10,±19,0,±13
                10 to 14 minutes,0,±13,0,±19,0,±19,0,±13,0,±19,0,±13
                15 to 19 minutes,0,±13,20,±38,0,±19,0,±13,19,±28,0,±13
                20 to 24 minutes,46,±72,0,±19,18,±35,0,±13,40,±56,0,±13
                25 to 29 minutes,0,±13,0,±19,0,±19,0,±13,15,±24,0,±13
                30 to 34 minutes,19,±30,0,±19,59,±80,0,±13,0,±19,0,±13
                35 to 44 minutes,0,±13,0,±19,0,±19,0,±13,0,±19,0,±13
                45 to 59 minutes,52,±63,23,±40,39,±64,0,±13,0,±19,0,±13
                60 or more minutes,0,±13,24,±39,0,±19,0,±13,0,±19,0,±13
    Public transportation (excluding taxicab):,733,±263,771,±236,691,±221,552,±229,821,±297,0,±13
        Less than 10 minutes,0,±13,0,±19,0,±19,0,±13,0,±19,0,±13
        10 to 14 minutes,0,±13,0,±19,50,±79,0,±13,0,±19,0,±13
        15 to 19 minutes,0,±13,0,±19,0,±19,0,±13,0,±19,0,±13
        20 to 24 minutes,12,±19,0,±19,11,±18,0,±13,25,±39,0,±13
        25 to 29 minutes,18,±30,0,±19,26,±37,21,±35,0,±19,0,±13
        30 to 34 minutes,18,±30,66,±100,12,±26,269,±130,77,±74,0,±13
        35 to 44 minutes,96,±67,0,±19,75,±85,0,±13,21,±33,0,±13
        45 to 59 minutes,257,±115,227,±199,129,±109,42,±43,123,±74,0,±13
        60 or more minutes,332,±233,478,±193,388,±189,220,±140,575,±249,0,±13
        Bus:,266,±157,400,±230,377,±192,282,±166,581,±278,0,±13
            Less than 10 minutes,0,±13,0,±19,0,±19,0,±13,0,±19,0,±13
            10 to 14 minutes,0,±13,0,±19,50,±79,0,±13,0,±19,0,±13
            15 to 19 minutes,0,±13,0,±19,0,±19,0,±13,0,±19,0,±13
            20 to 24 minutes,0,±13,0,±19,0,±19,0,±13,25,±39,0,±13
            25 to 29 minutes,18,±30,0,±19,26,±37,0,±13,0,±19,0,±13
            30 to 34 minutes,18,±30,0,±19,12,±26,223,±120,77,±74,0,±13
            35 to 44 minutes,20,±33,0,±19,0,±19,0,±13,21,±33,0,±13
            45 to 59 minutes,58,±59,170,±170,89,±103,0,±13,58,±46,0,±13
            60 or more minutes,152,±128,230,±172,200,±157,59,±65,400,±226,0,±13
"        Subway or elevated rail, Light rail, streetcar, or trolley (carro público in Puerto Rico):",467,±170,371,±163,281,±172,254,±152,223,±100,0,±13
            Less than 10 minutes,0,±13,0,±19,0,±19,0,±13,0,±19,0,±13
            10 to 14 minutes,0,±13,0,±19,0,±19,0,±13,0,±19,0,±13
            15 to 19 minutes,0,±13,0,±19,0,±19,0,±13,0,±19,0,±13
            20 to 24 minutes,12,±19,0,±19,0,±19,0,±13,0,±19,0,±13
            25 to 29 minutes,0,±13,0,±19,0,±19,21,±35,0,±19,0,±13
            30 to 34 minutes,0,±13,66,±100,0,±19,46,±58,0,±19,0,±13
            35 to 44 minutes,76,±56,0,±19,75,±85,0,±13,0,±19,0,±13
            45 to 59 minutes,199,±112,57,±70,18,±28,42,±43,48,±47,0,±13
            60 or more minutes,180,±128,248,±125,188,±136,145,±103,175,±103,0,±13
        Long-distance train or commuter rail or Ferryboat:,0,±13,0,±19,33,±33,16,±29,17,±28,0,±13
            Less than 10 minutes,0,±13,0,±19,0,±19,0,±13,0,±19,0,±13
            10 to 14 minutes,0,±13,0,±19,0,±19,0,±13,0,±19,0,±13
            15 to 19 minutes,0,±13,0,±19,0,±19,0,±13,0,±19,0,±13
            20 to 24 minutes,0,±13,0,±19,11,±18,0,±13,0,±19,0,±13
            25 to 29 minutes,0,±13,0,±19,0,±19,0,±13,0,±19,0,±13
            30 to 34 minutes,0,±13,0,±19,0,±19,0,±13,0,±19,0,±13
            35 to 44 minutes,0,±13,0,±19,0,±19,0,±13,0,±19,0,±13
            45 to 59 minutes,0,±13,0,±19,22,±36,0,±13,17,±28,0,±13
            60 or more minutes,0,±13,0,±19,0,±19,16,±29,0,±19,0,±13
    Walked:,78,±68,65,±76,186,±137,20,±29,46,±53,0,±13
        Less than 10 minutes,0,±13,0,±19,0,±19,0,±13,23,±28,0,±13
        10 to 14 minutes,8,±12,0,±19,66,±77,20,±29,0,±19,0,±13
        15 to 19 minutes,0,±13,0,±19,63,±94,0,±13,0,±19,0,±13
        20 to 24 minutes,23,±36,0,±19,0,±19,0,±13,0,±19,0,±13
        25 to 29 minutes,0,±13,0,±19,0,±19,0,±13,0,±19,0,±13
        30 to 34 minutes,18,±24,0,±19,37,±56,0,±13,23,±38,0,±13
        35 to 44 minutes,0,±13,18,±28,20,±33,0,±13,0,±19,0,±13
        45 to 59 minutes,0,±13,0,±19,0,±19,0,±13,0,±19,0,±13
        60 or more minutes,29,±48,47,±72,0,±19,0,±13,0,±19,0,±13
"    Taxicab, motorcycle, bicycle, or other means:",88,±65,132,±130,52,±84,25,±33,12,±21,0,±13
        Less than 10 minutes,0,±13,0,±19,0,±19,0,±13,0,±19,0,±13
        10 to 14 minutes,0,±13,23,±37,0,±19,0,±13,0,±19,0,±13
        15 to 19 minutes,0,±13,72,±116,0,±19,0,±13,0,±19,0,±13
        20 to 24 minutes,9,±14,0,±19,0,±19,0,±13,0,±19,0,±13
        25 to 29 minutes,0,±13,0,±19,0,±19,0,±13,0,±19,0,±13
        30 to 34 minutes,11,±17,0,±19,0,±19,25,±33,0,±19,0,±13
        35 to 44 minutes,29,±45,37,±58,0,±19,0,±13,0,±19,0,±13
        45 to 59 minutes,0,±13,0,±19,52,±84,0,±13,12,±21,0,±13
        60 or more minutes,39,±45,0,±19,0,±19,0,±13,0,±19,0,±13
