Label (Grouping),"Census Tract 801, Suffolk County, Massachusetts!!Estimate","Census Tract 801, Suffolk County, Massachusetts!!Margin of Error","Census Tract 803, Suffolk County, Massachusetts!!Estimate","Census Tract 803, Suffolk County, Massachusetts!!Margin of Error","Census Tract 804.01, Suffolk County, Massachusetts!!Estimate","Census Tract 804.01, Suffolk County, Massachusetts!!Margin of Error","Census Tract 805, Suffolk County, Massachusetts!!Estimate","Census Tract 805, Suffolk County, Massachusetts!!Margin of Error","Census Tract 806.01, Suffolk County, Massachusetts!!Estimate","Census Tract 806.01, Suffolk County, Massachusetts!!Margin of Error","Census Tract 813.01, Suffolk County, Massachusetts!!Estimate","Census Tract 813.01, Suffolk County, Massachusetts!!Margin of Error","Census Tract 813.02, Suffolk County, Massachusetts!!Estimate","Census Tract 813.02, Suffolk County, Massachusetts!!Margin of Error","Census Tract 814, Suffolk County, Massachusetts!!Estimate","Census Tract 814, Suffolk County, Massachusetts!!Margin of Error","Census Tract 815, Suffolk County, Massachusetts!!Estimate","Census Tract 815, Suffolk County, Massachusetts!!Margin of Error","Census Tract 819, Suffolk County, Massachusetts!!Estimate","Census Tract 819, Suffolk County, Massachusetts!!Margin of Error","Census Tract 820, Suffolk County, Massachusetts!!Estimate","Census Tract 820, Suffolk County, Massachusetts!!Margin of Error","Census Tract 904, Suffolk County, Massachusetts!!Estimate","Census Tract 904, Suffolk County, Massachusetts!!Margin of Error","Census Tract 1801.01, Suffolk County, Massachusetts!!Estimate","Census Tract 1801.01, Suffolk County, Massachusetts!!Margin of Error","Census Tract 1803.01, Suffolk County, Massachusetts!!Estimate","Census Tract 1803.01, Suffolk County, Massachusetts!!Margin of Error","Census Tract 1805, Suffolk County, Massachusetts!!Estimate","Census Tract 1805, Suffolk County, Massachusetts!!Margin of Error","Census Tract 9801.01, Suffolk County, Massachusetts!!Estimate","Census Tract 9801.01, Suffolk County, Massachusetts!!Margin of Error","Census Tract 9803, Suffolk County, Massachusetts!!Estimate","Census Tract 9803, Suffolk County, Massachusetts!!Margin of Error","Census Tract 9813, Suffolk County, Massachusetts!!Estimate","Census Tract 9813, Suffolk County, Massachusetts!!Margin of Error","Census Tract 9815.01, Suffolk County, Massachusetts!!Estimate","Census Tract 9815.01, Suffolk County, Massachusetts!!Margin of Error","Census Tract 9815.02, Suffolk County, Massachusetts!!Estimate","Census Tract 9815.02, Suffolk County, Massachusetts!!Margin of Error","Census Tract 9819, Suffolk County, Massachusetts!!Estimate","Census Tract 9819, Suffolk County, Massachusetts!!Margin of Error"
"    Car, truck, or van:",286,±156,435,±185,569,±216,492,±151,320,±161,453,±276,250,±181,658,±171,656,±178,"1,097",±465,804,±328,971,±299,"1,887",±400,840,±157,"1,688",±248,0,±13,10,±24,0,±13,0,±13,0,±13,0,±13
        Less than 10 minutes,4,±8,73,±90,26,±28,30,±37,7,±17,19,±24,0,±13,19,±24,39,±35,0,±13,0,±13,86,±95,131,±105,170,±98,134,±86,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13
        10 to 14 minutes,30,±28,17,±19,75,±56,106,±108,17,±26,106,±135,21,±36,100,±72,84,±93,38,±57,131,±126,37,±43,86,±94,55,±37,117,±71,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13
        15 to 19 minutes,68,±65,135,±71,160,±136,46,±52,12,±23,129,±125,0,±13,107,±63,97,±66,199,±156,175,±112,36,±32,356,±157,67,±44,84,±55,0,±13,10,±24,0,±13,0,±13,0,±13,0,±13
        20 to 24 minutes,69,±57,46,±43,94,±85,30,±24,0,±13,119,±163,0,±13,133,±106,105,±49,234,±168,131,±150,173,±102,190,±130,117,±62,242,±109,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13
        25 to 29 minutes,11,±16,17,±31,20,±25,103,±61,76,±71,41,±67,0,±13,45,±31,32,±27,19,±34,0,±13,83,±50,140,±107,90,±50,138,±84,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13
        30 to 34 minutes,59,±60,144,±108,86,±45,76,±70,133,±104,22,±38,113,±130,108,±50,81,±60,172,±124,126,±79,297,±161,368,±170,109,±67,316,±109,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13
        35 to 44 minutes,7,±13,3,±11,41,±46,57,±47,42,±34,17,±27,45,±68,38,±34,86,±42,0,±13,110,±63,54,±54,77,±81,8,±12,166,±85,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13
        45 to 59 minutes,38,±34,0,±13,67,±48,0,±13,0,±13,0,±13,0,±13,59,±40,91,±60,200,±141,82,±61,49,±44,243,±151,151,±87,276,±110,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13
        60 or more minutes,0,±13,0,±13,0,±13,44,±48,33,±43,0,±13,71,±87,49,±40,41,±41,235,±234,49,±53,156,±119,296,±132,73,±48,215,±97,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13
        Drove alone:,279,±156,218,±93,532,±213,388,±120,279,±149,431,±271,250,±181,603,±170,630,±175,746,±414,647,±242,739,±262,"1,515",±422,808,±154,"1,534",±236,0,±13,10,±24,0,±13,0,±13,0,±13,0,±13
            Less than 10 minutes,4,±8,23,±35,26,±28,23,±36,7,±17,19,±24,0,±13,19,±24,33,±34,0,±13,0,±13,86,±95,17,±28,164,±96,134,±86,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13
            10 to 14 minutes,30,±28,11,±16,75,±56,88,±102,17,±26,106,±135,21,±36,100,±72,84,±93,0,±13,131,±126,14,±19,86,±94,45,±33,117,±71,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13
            15 to 19 minutes,68,±65,123,±69,144,±134,46,±52,12,±23,129,±125,0,±13,94,±62,84,±63,180,±152,175,±112,36,±32,308,±161,67,±44,72,±51,0,±13,10,±24,0,±13,0,±13,0,±13,0,±13
            20 to 24 minutes,62,±56,23,±38,83,±83,30,±24,0,±13,119,±163,0,±13,133,±106,105,±49,111,±95,45,±46,119,±74,150,±113,117,±62,212,±107,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13
            25 to 29 minutes,11,±16,3,±8,20,±25,103,±61,68,±70,41,±67,0,±13,45,±31,32,±27,19,±34,0,±13,54,±41,74,±52,90,±50,115,±78,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13
            30 to 34 minutes,59,±60,32,±39,76,±42,37,±37,118,±103,0,±13,113,±130,95,±47,74,±57,125,±107,95,±64,171,±124,341,±166,100,±64,245,±102,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13
            35 to 44 minutes,7,±13,3,±11,41,±46,46,±44,36,±32,17,±27,45,±68,38,±34,86,±42,0,±13,99,±62,54,±54,77,±81,8,±12,166,±85,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13
            45 to 59 minutes,38,±34,0,±13,67,±48,0,±13,0,±13,0,±13,0,±13,42,±34,91,±60,83,±99,53,±50,49,±44,207,±147,151,±87,276,±110,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13
            60 or more minutes,0,±13,0,±13,0,±13,15,±21,21,±29,0,±13,71,±87,37,±37,41,±41,228,±235,49,±53,156,±119,255,±122,66,±45,197,±93,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13
        Carpooled:,7,±9,217,±171,37,±31,104,±81,41,±31,22,±38,0,±13,55,±38,26,±25,351,±202,157,±154,232,±137,372,±179,32,±25,154,±71,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13
            Less than 10 minutes,0,±13,50,±78,0,±13,7,±8,0,±13,0,±13,0,±13,0,±13,6,±9,0,±13,0,±13,0,±13,114,±106,6,±11,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13
            10 to 14 minutes,0,±13,6,±13,0,±13,18,±27,0,±13,0,±13,0,±13,0,±13,0,±13,38,±57,0,±13,23,±38,0,±19,10,±16,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13
            15 to 19 minutes,0,±13,12,±15,16,±26,0,±13,0,±13,0,±13,0,±13,13,±22,13,±21,19,±30,0,±13,0,±13,48,±64,0,±13,12,±19,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13
            20 to 24 minutes,7,±9,23,±21,11,±17,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13,123,±122,86,±141,54,±52,40,±67,0,±13,30,±29,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13
            25 to 29 minutes,0,±13,14,±30,0,±13,0,±13,8,±17,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13,29,±37,66,±89,0,±13,23,±35,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13
            30 to 34 minutes,0,±13,112,±105,10,±15,39,±59,15,±16,22,±38,0,±13,13,±21,7,±12,47,±74,31,±44,126,±94,27,±32,9,±16,71,±51,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13
            35 to 44 minutes,0,±13,0,±13,0,±13,11,±19,6,±11,0,±13,0,±13,0,±13,0,±13,0,±13,11,±16,0,±13,0,±19,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13
            45 to 59 minutes,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13,17,±22,0,±13,117,±96,29,±31,0,±13,36,±56,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13
            60 or more minutes,0,±13,0,±13,0,±13,29,±45,12,±20,0,±13,0,±13,12,±21,0,±13,7,±17,0,±13,0,±13,41,±60,7,±10,18,±27,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13
            In 2-person carpool:,7,±9,215,±173,37,±31,47,±51,29,±26,0,±13,0,±13,55,±38,13,±15,307,±202,157,±154,212,±118,372,±179,32,±25,109,±61,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13
                Less than 10 minutes,0,±13,50,±78,0,±13,7,±8,0,±13,0,±13,0,±13,0,±13,6,±9,0,±13,0,±13,0,±13,114,±106,6,±11,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13
                10 to 14 minutes,0,±13,6,±13,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13,38,±57,0,±13,23,±38,0,±19,10,±16,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13
                15 to 19 minutes,0,±13,10,±15,16,±26,0,±13,0,±13,0,±13,0,±13,13,±22,0,±13,19,±30,0,±13,0,±13,48,±64,0,±13,12,±19,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13
                20 to 24 minutes,7,±9,23,±21,11,±17,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13,123,±122,86,±141,54,±52,40,±67,0,±13,18,±24,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13
                25 to 29 minutes,0,±13,14,±30,0,±13,0,±13,8,±17,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13,29,±37,66,±89,0,±13,23,±35,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13
                30 to 34 minutes,0,±13,112,±105,10,±15,0,±13,15,±16,0,±13,0,±13,13,±21,7,±12,47,±74,31,±44,106,±78,27,±32,9,±16,56,±49,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13
                35 to 44 minutes,0,±13,0,±13,0,±13,11,±19,6,±11,0,±13,0,±13,0,±13,0,±13,0,±13,11,±16,0,±13,0,±19,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13
                45 to 59 minutes,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13,17,±22,0,±13,80,±89,29,±31,0,±13,36,±56,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13
                60 or more minutes,0,±13,0,±13,0,±13,29,±45,0,±13,0,±13,0,±13,12,±21,0,±13,0,±13,0,±13,0,±13,41,±60,7,±10,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13
            In 3-or-more-person carpool:,0,±13,2,±8,0,±13,57,±64,12,±20,22,±38,0,±13,0,±13,13,±21,44,±49,0,±13,20,±28,0,±19,0,±13,45,±37,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13
                Less than 10 minutes,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13,0,±19,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13
                10 to 14 minutes,0,±13,0,±13,0,±13,18,±27,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13,0,±19,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13
                15 to 19 minutes,0,±13,2,±8,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13,13,±21,0,±13,0,±13,0,±13,0,±19,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13
                20 to 24 minutes,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13,0,±19,0,±13,12,±21,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13
                25 to 29 minutes,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13,0,±19,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13
                30 to 34 minutes,0,±13,0,±13,0,±13,39,±59,0,±13,22,±38,0,±13,0,±13,0,±13,0,±13,0,±13,20,±28,0,±19,0,±13,15,±18,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13
                35 to 44 minutes,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13,0,±19,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13
                45 to 59 minutes,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13,37,±45,0,±13,0,±13,0,±19,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13
                60 or more minutes,0,±13,0,±13,0,±13,0,±13,12,±20,0,±13,0,±13,0,±13,0,±13,7,±17,0,±13,0,±13,0,±19,0,±13,18,±27,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13
    Public transportation (excluding taxicab):,305,±115,426,±235,327,±107,542,±252,452,±151,354,±145,431,±320,673,±234,359,±116,681,±326,750,±224,531,±236,571,±272,283,±126,305,±96,61,±75,23,±40,4,±6,0,±13,0,±13,0,±13
        Less than 10 minutes,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13,31,±49,0,±19,0,±13,12,±18,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13
        10 to 14 minutes,16,±19,0,±13,0,±13,0,±13,12,±23,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13,0,±19,10,±14,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13
        15 to 19 minutes,18,±23,0,±13,45,±44,8,±14,33,±39,0,±13,0,±13,28,±44,11,±16,0,±13,27,±40,0,±13,0,±19,8,±13,0,±13,47,±87,0,±13,0,±13,0,±13,0,±13,0,±13
        20 to 24 minutes,24,±29,0,±13,42,±43,40,±51,106,±56,82,±93,0,±13,43,±34,42,±50,4,±10,0,±13,0,±13,0,±19,80,±96,0,±13,14,±32,0,±13,4,±6,0,±13,0,±13,0,±13
        25 to 29 minutes,16,±22,0,±13,16,±25,19,±29,26,±29,0,±13,0,±13,45,±51,21,±19,17,±27,0,±13,0,±13,0,±19,35,±34,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13
        30 to 34 minutes,125,±97,201,±129,79,±60,107,±65,154,±82,193,±108,201,±227,354,±158,141,±81,151,±94,105,±60,66,±58,0,±19,28,±34,82,±51,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13
        35 to 44 minutes,10,±16,53,±68,51,±48,203,±208,27,±24,37,±44,130,±153,82,±75,31,±27,88,±82,140,±99,95,±100,172,±122,41,±40,42,±43,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13
        45 to 59 minutes,37,±56,53,±52,7,±11,91,±84,77,±55,24,±33,86,±110,74,±52,68,±67,156,±108,328,±172,82,±60,101,±89,54,±36,100,±62,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13
        60 or more minutes,59,±60,119,±123,87,±56,74,±66,17,±19,18,±21,14,±24,47,±50,45,±52,265,±279,150,±99,257,±143,298,±242,27,±42,69,±51,0,±13,23,±40,0,±13,0,±13,0,±13,0,±13
        Bus:,240,±112,298,±168,248,±111,423,±242,275,±114,231,±116,164,±145,249,±158,183,±86,300,±142,503,±180,416,±173,162,±113,24,±28,51,±27,61,±75,3,±9,0,±13,0,±13,0,±13,0,±13
            Less than 10 minutes,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13,31,±49,0,±19,0,±13,12,±18,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13
            10 to 14 minutes,16,±19,0,±13,0,±13,0,±13,12,±23,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13,0,±19,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13
            15 to 19 minutes,18,±23,0,±13,45,±44,8,±14,28,±39,0,±13,0,±13,28,±44,11,±16,0,±13,0,±13,0,±13,0,±19,8,±13,0,±13,47,±87,0,±13,0,±13,0,±13,0,±13,0,±13
            20 to 24 minutes,8,±18,0,±13,42,±43,30,±47,72,±46,40,±64,0,±13,12,±18,24,±38,4,±10,0,±13,0,±13,0,±19,0,±13,0,±13,14,±32,0,±13,0,±13,0,±13,0,±13,0,±13
            25 to 29 minutes,0,±13,0,±13,16,±25,19,±29,0,±13,0,±13,0,±13,29,±46,21,±19,17,±27,0,±13,0,±13,0,±19,9,±13,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13
            30 to 34 minutes,125,±97,201,±129,65,±54,69,±56,84,±66,152,±100,69,±104,105,±77,104,±76,56,±59,85,±54,66,±58,0,±19,0,±13,27,±27,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13
            35 to 44 minutes,10,±16,0,±13,51,±48,191,±207,22,±23,21,±39,48,±81,41,±66,17,±18,88,±82,79,±75,38,±42,44,±61,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13
            45 to 59 minutes,18,±29,53,±52,0,±13,65,±80,57,±50,0,±13,42,±74,34,±40,6,±13,87,±80,262,±133,24,±21,67,±76,7,±10,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13
            60 or more minutes,45,±53,44,±60,29,±30,41,±47,0,±13,18,±21,5,±9,0,±13,0,±13,48,±43,77,±76,257,±143,51,±69,0,±13,12,±21,0,±13,3,±9,0,±13,0,±13,0,±13,0,±13
"        Subway or elevated rail, Light rail, streetcar, or trolley (carro público in Puerto Rico):",65,±59,128,±131,52,±46,104,±63,170,±91,123,±131,267,±240,424,±160,176,±100,318,±287,200,±140,115,±136,409,±232,239,±120,228,±97,0,±13,20,±39,4,±6,0,±13,0,±13,0,±13
            Less than 10 minutes,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13,0,±19,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13
            10 to 14 minutes,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13,0,±19,10,±14,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13
            15 to 19 minutes,0,±13,0,±13,0,±13,0,±13,5,±7,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13,0,±19,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13
            20 to 24 minutes,16,±23,0,±13,0,±13,10,±16,27,±32,42,±72,0,±13,31,±29,18,±31,0,±13,0,±13,0,±13,0,±19,60,±90,0,±13,0,±13,0,±13,4,±6,0,±13,0,±13,0,±13
            25 to 29 minutes,16,±22,0,±13,0,±13,0,±13,26,±29,0,±13,0,±13,16,±20,0,±13,0,±13,0,±13,0,±13,0,±19,26,±32,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13
            30 to 34 minutes,0,±13,0,±13,14,±23,38,±42,70,±51,41,±81,132,±193,249,±142,37,±34,67,±63,0,±13,0,±13,0,±19,28,±34,46,±45,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13
            35 to 44 minutes,0,±13,53,±68,0,±13,4,±6,5,±7,16,±21,82,±117,41,±33,14,±18,0,±13,61,±80,57,±89,128,±111,41,±40,35,±34,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13
            45 to 59 minutes,19,±31,0,±13,7,±11,26,±27,20,±26,24,±33,44,±72,40,±26,62,±65,69,±60,66,±100,58,±56,34,±46,47,±35,90,±62,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13
            60 or more minutes,14,±21,75,±111,31,±36,26,±43,17,±19,0,±13,9,±22,47,±50,45,±52,182,±273,73,±72,0,±13,247,±204,27,±42,57,±45,0,±13,20,±39,0,±13,0,±13,0,±13,0,±13
        Long-distance train or commuter rail or Ferryboat:,0,±13,0,±13,27,±30,15,±16,7,±14,0,±13,0,±13,0,±13,0,±13,63,±98,47,±49,0,±13,0,±19,20,±31,26,±24,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13
            Less than 10 minutes,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13,0,±19,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13
            10 to 14 minutes,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13,0,±19,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13
            15 to 19 minutes,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13,27,±40,0,±13,0,±19,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13
            20 to 24 minutes,0,±13,0,±13,0,±13,0,±13,7,±14,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13,0,±19,20,±31,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13
            25 to 29 minutes,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13,0,±19,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13
            30 to 34 minutes,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13,28,±44,20,±33,0,±13,0,±19,0,±13,9,±14,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13
            35 to 44 minutes,0,±13,0,±13,0,±13,8,±12,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13,0,±19,0,±13,7,±13,0,±13,0,±13,0,±13,0,±13,0,±13,0,±13
