Label (Grouping),"Census Tract 1009, Suffolk County, Massachusetts!!Estimate","Census Tract 1009, Suffolk County, Massachusetts!!Margin of Error","Census Tract 1010.01, Suffolk County, Massachusetts!!Estimate","Census Tract 1010.01, Suffolk County, Massachusetts!!Margin of Error","Census Tract 1010.02, Suffolk County, Massachusetts!!Estimate","Census Tract 1010.02, Suffolk County, Massachusetts!!Margin of Error","Census Tract 1011.01, Suffolk County, Massachusetts!!Estimate","Census Tract 1011.01, Suffolk County, Massachusetts!!Margin of Error","Census Tract 1011.02, Suffolk County, Massachusetts!!Estimate","Census Tract 1011.02, Suffolk County, Massachusetts!!Margin of Error","Census Tract 9811, Suffolk County, Massachusetts!!Estimate","Census Tract 9811, Suffolk County, Massachusetts!!Margin of Error"
                45 to 59 minutes,9,±18,15,±30,0,±17,13,±23,0,±17,0,±12
                60 or more minutes,0,±12,0,±17,11,±21,0,±12,7,±15,0,±12
    Public transportation (excluding taxicab):,695,±204,"1,163",±365,848,±242,762,±189,793,±215,26,±23
        Less than 10 minutes,0,±12,0,±17,0,±17,0,±12,0,±17,0,±12
        10 to 14 minutes,0,±12,0,±17,0,±17,0,±12,0,±17,0,±12
        15 to 19 minutes,0,±12,13,±23,41,±35,0,±12,0,±17,0,±12
        20 to 24 minutes,33,±53,160,±114,8,±18,27,±32,5,±13,0,±12
        25 to 29 minutes,0,±12,15,±24,29,±47,0,±12,15,±26,0,±12
        30 to 34 minutes,82,±63,133,±117,52,±46,116,±83,233,±126,0,±12
        35 to 44 minutes,101,±75,35,±40,61,±104,43,±47,127,±79,13,±20
        45 to 59 minutes,139,±81,61,±70,252,±151,167,±88,105,±64,8,±10
        60 or more minutes,340,±142,746,±318,405,±173,409,±140,308,±114,5,±7
        Bus or trolley bus:,186,±128,746,±285,502,±179,474,±135,553,±169,13,±20
            Less than 10 minutes,0,±12,0,±17,0,±17,0,±12,0,±17,0,±12
            10 to 14 minutes,0,±12,0,±17,0,±17,0,±12,0,±17,0,±12
            15 to 19 minutes,0,±12,13,±23,0,±17,0,±12,0,±17,0,±12
            20 to 24 minutes,33,±53,98,±98,8,±18,11,±18,5,±13,0,±12
            25 to 29 minutes,0,±12,15,±24,0,±17,0,±12,0,±17,0,±12
            30 to 34 minutes,0,±12,133,±117,27,±35,71,±59,182,±99,0,±12
            35 to 44 minutes,47,±61,20,±32,0,±17,35,±43,115,±82,13,±20
            45 to 59 minutes,0,±12,17,±31,201,±125,114,±87,41,±34,0,±12
            60 or more minutes,106,±77,450,±232,266,±129,243,±104,210,±87,0,±12
"        Streetcar or trolley car (carro publico in Puerto Rico), subway or elevated:",498,±158,417,±189,346,±192,280,±107,203,±116,13,±12
            Less than 10 minutes,0,±12,0,±17,0,±17,0,±12,0,±17,0,±12
            10 to 14 minutes,0,±12,0,±17,0,±17,0,±12,0,±17,0,±12
            15 to 19 minutes,0,±12,0,±17,41,±35,0,±12,0,±17,0,±12
            20 to 24 minutes,0,±12,62,±84,0,±17,16,±26,0,±17,0,±12
            25 to 29 minutes,0,±12,0,±17,29,±47,0,±12,15,±26,0,±12
            30 to 34 minutes,71,±58,0,±17,25,±31,45,±45,51,±54,0,±12
            35 to 44 minutes,54,±44,15,±24,61,±104,8,±14,0,±17,0,±12
            45 to 59 minutes,139,±81,44,±64,51,±80,53,±46,64,±53,8,±10
            60 or more minutes,234,±98,296,±167,139,±117,158,±82,73,±55,5,±7
        Railroad or ferryboat:,11,±17,0,±17,0,±17,8,±13,37,±49,0,±12
            Less than 10 minutes,0,±12,0,±17,0,±17,0,±12,0,±17,0,±12
            10 to 14 minutes,0,±12,0,±17,0,±17,0,±12,0,±17,0,±12
            15 to 19 minutes,0,±12,0,±17,0,±17,0,±12,0,±17,0,±12
            20 to 24 minutes,0,±12,0,±17,0,±17,0,±12,0,±17,0,±12
            25 to 29 minutes,0,±12,0,±17,0,±17,0,±12,0,±17,0,±12
            30 to 34 minutes,11,±17,0,±17,0,±17,0,±12,0,±17,0,±12
            35 to 44 minutes,0,±12,0,±17,0,±17,0,±12,12,±19,0,±12
            45 to 59 minutes,0,±12,0,±17,0,±17,0,±12,0,±17,0,±12
            60 or more minutes,0,±12,0,±17,0,±17,8,±13,25,±42,0,±12
    Walked:,43,±46,56,±63,164,±111,0,±12,45,±46,0,±12
        Less than 10 minutes,0,±12,0,±17,0,±17,0,±12,4,±9,0,±12
        10 to 14 minutes,32,±40,0,±17,0,±17,0,±12,37,±45,0,±12
        15 to 19 minutes,0,±12,37,±56,39,±57,0,±12,0,±17,0,±12
        20 to 24 minutes,0,±12,19,±30,16,±27,0,±12,0,±17,0,±12
        25 to 29 minutes,0,±12,0,±17,0,±17,0,±12,0,±17,0,±12
        30 to 34 minutes,0,±12,0,±17,0,±17,0,±12,0,±17,0,±12
        35 to 44 minutes,0,±12,0,±17,32,±56,0,±12,0,±17,0,±12
        45 to 59 minutes,0,±12,0,±17,0,±17,0,±12,0,±17,0,±12
        60 or more minutes,11,±18,0,±17,77,±78,0,±12,4,±9,0,±12
"    Taxicab, motorcycle, bicycle, or other means:",36,±47,36,±40,31,±42,20,±30,11,±16,0,±12
        Less than 10 minutes,0,±12,20,±32,0,±17,20,±30,0,±17,0,±12
        10 to 14 minutes,0,±12,0,±17,0,±17,0,±12,0,±17,0,±12
        15 to 19 minutes,0,±12,0,±17,0,±17,0,±12,0,±17,0,±12
        20 to 24 minutes,0,±12,0,±17,0,±17,0,±12,11,±16,0,±12
        25 to 29 minutes,29,±46,0,±17,16,±25,0,±12,0,±17,0,±12
        30 to 34 minutes,0,±12,0,±17,15,±33,0,±12,0,±17,0,±12
        35 to 44 minutes,0,±12,0,±17,0,±17,0,±12,0,±17,0,±12
        45 to 59 minutes,7,±11,16,±26,0,±17,0,±12,0,±17,0,±12
        60 or more minutes,0,±12,0,±17,0,±17,0,±12,0,±17,0,±12
