"Label (Grouping)","Cambridge city, Massachusetts!!Total!!Estimate","Cambridge city, Massachusetts!!Total!!Margin of Error","Cambridge city, Massachusetts!!Car, truck, or van -- drove alone!!Estimate","Cambridge city, Massachusetts!!Car, truck, or van -- drove alone!!Margin of Error","Cambridge city, Massachusetts!!Car, truck, or van -- carpooled!!Estimate","Cambridge city, Massachusetts!!Car, truck, or van -- carpooled!!Margin of Error","Cambridge city, Massachusetts!!Public transportation (excluding taxicab)!!Estimate","Cambridge city, Massachusetts!!Public transportation (excluding taxicab)!!Margin of Error"
"    45 to 59 minutes","7.4%","±1.4","8.5%","±3.1","7.4%","±6.2","12.5%","±3.2"
"    60 or more minutes","5.6%","±1.3","5.5%","±2.0","7.0%","±8.0","9.8%","±2.7"
"    Mean travel time to work (minutes)","26.4","±1.0","28.0","±1.3","21.8","±5.0","35.6","±1.8"
"Workers 16 years and over in households","59,851","±2,893","16,964","±1,835","1,556","±697","20,885","±2,300"
"    HOUSING TENURE","","","","","","","",""
"        Owner-occupied housing units","36.5%","±3.5","43.3%","±5.9","71.3%","±14.4","25.7%","±4.9"
"        Renter-occupied housing units","63.5%","±3.5","56.7%","±5.9","28.7%","±14.4","74.3%","±4.9"
"VEHICLES AVAILABLE","","","","","","","",""
"    No vehicle available","23.8%","±4.2","2.5%","±1.9","3.3%","±5.7","36.3%","±7.5"
"    1 vehicle available","52.1%","±5.0","56.5%","±7.0","48.5%","±19.7","49.7%","±7.1"
"    2 vehicles available","19.3%","±3.1","31.0%","±6.2","33.8%","±23.0","12.9%","±4.5"
"    3 or more vehicles available","4.8%","±1.9","10.0%","±4.3","14.4%","±14.2","1.1%","±0.8"
"PERCENT IMPUTED","","","","","","","",""
"    Means of transportation to work","12.2%","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Time leaving home to go to work","19.9%","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Travel time to work","13.9%","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Vehicles available","1.3%","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
