"Label (Grouping)","Cambridge city, Massachusetts!!Total!!Estimate","Cambridge city, Massachusetts!!Total!!Margin of Error","Cambridge city, Massachusetts!!Car, truck, or van -- drove alone!!Estimate","Cambridge city, Massachusetts!!Car, truck, or van -- drove alone!!Margin of Error","Cambridge city, Massachusetts!!Car, truck, or van -- carpooled!!Estimate","Cambridge city, Massachusetts!!Car, truck, or van -- carpooled!!Margin of Error","Cambridge city, Massachusetts!!Public transportation (excluding taxicab)!!Estimate","Cambridge city, Massachusetts!!Public transportation (excluding taxicab)!!Margin of Error"
"LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH","","","","","","","",""
"    Speak language other than English","26.5%","±3.2","26.0%","±5.2","14.2%","±10.6","27.3%","±5.9"
"        Speak English ""very well""","20.9%","±2.7","21.7%","±4.4","10.8%","±9.0","22.0%","±5.1"
"        Speak English less than ""very well""","5.6%","±1.5","4.3%","±2.0","3.5%","±4.7","5.3%","±2.5"
"EARNINGS IN THE PAST 12 MONTHS (IN 2014 INFLATION-ADJUSTED DOLLARS) FOR WORKERS","","","","","","","",""
"    Workers 16 years and over with earnings","62,785","±2,730","16,146","±1,460","2,627","±893","18,648","±2,181"
"        $1 to $9,999 or loss","12.9%","±1.8","5.8%","±2.4","9.5%","±7.6","7.3%","±3.2"
"        $10,000 to $14,999","5.4%","±1.4","4.5%","±2.0","5.7%","±6.2","7.0%","±3.3"
"        $15,000 to $24,999","9.4%","±2.0","9.6%","±3.8","0.0%","±6.0","8.1%","±2.6"
"        $25,000 to $34,999","9.0%","±1.6","10.0%","±3.7","2.1%","±2.7","9.1%","±2.8"
"        $35,000 to $49,999","15.5%","±2.2","11.1%","±4.4","18.4%","±12.3","20.4%","±4.7"
"        $50,000 to $64,999","11.5%","±1.8","12.9%","±2.9","33.5%","±14.7","12.0%","±3.8"
"        $65,000 to $74,999","4.6%","±1.0","6.4%","±2.6","3.1%","±3.7","4.1%","±1.8"
"        $75,000 or more","31.7%","±2.7","39.6%","±5.2","27.7%","±10.4","31.8%","±5.5"
"Median earnings (dollars)","46,122","±3,312","59,170","±6,385","57,781","±6,756","46,904","±5,332"
"POVERTY STATUS IN THE PAST 12 MONTHS","","","","","","","",""
"    Workers 16 years and over for whom poverty status is determined","55,344","±2,627","15,649","±1,436","2,329","±885","18,328","±2,145"
"        Below 100 percent of the poverty level","5.3%","±1.5","4.5%","±2.1","2.6%","±4.7","7.7%","±3.8"
"        100 to 149 percent of the poverty level","4.3%","±1.7","3.7%","±2.2","2.5%","±4.3","3.1%","±1.7"
"        At or above 150 percent of the poverty level","90.5%","±2.5","91.8%","±3.1","94.9%","±6.5","89.2%","±4.3"
"Workers 16 years and over","62,785","±2,730","16,146","±1,460","2,627","±893","18,648","±2,181"
"    OCCUPATION","","","","","","","",""
"        Management, business, science, and arts occupations","72.4%","±2.8","70.7%","±4.9","77.9%","±10.8","72.0%","±5.0"
"        Service occupations","8.2%","±1.5","10.5%","±3.8","5.9%","±5.1","6.6%","±2.1"
"        Sales and office occupations","14.4%","±2.1","12.4%","±3.1","10.5%","±6.9","15.2%","±4.1"
"        Natural resources, construction, and maintenance occupations","1.4%","±0.8","0.7%","±0.8","2.3%","±4.1","2.6%","±2.4"
"        Production, transportation, and material moving occupations","3.4%","±1.0","5.7%","±2.8","3.5%","±6.1","3.3%","±2.4"
"        Military specific occupations","0.2%","±0.2","0.0%","±1.0","0.0%","±6.0","0.3%","±0.4"
"INDUSTRY","","","","","","","",""
"    Agriculture, forestry, fishing and hunting, and mining","0.3%","±0.2","0.3%","±0.5","2.3%","±4.1","0.0%","±0.9"
"    Construction","0.7%","±0.4","0.4%","±0.7","0.0%","±6.0","0.7%","±0.7"
"    Manufacturing","5.2%","±1.1","7.0%","±2.1","5.1%","±6.8","4.1%","±1.8"
"    Wholesale trade","1.1%","±0.5","1.5%","±0.9","0.9%","±1.4","0.8%","±0.8"
"    Retail trade","4.4%","±1.2","4.4%","±2.3","6.8%","±6.1","4.4%","±2.8"
"    Transportation and warehousing, and utilities","1.5%","±0.7","2.6%","±1.4","1.4%","±2.4","1.2%","±1.1"
"    Information and finance and insurance, and real estate and rental and leasing","10.5%","±2.0","9.5%","±3.3","1.6%","±2.7","12.5%","±3.2"
"    Professional, scientific, management, and administrative and waste management services","19.2%","±2.1","16.5%","±3.4","34.6%","±19.6","25.5%","±5.2"
"    Educational services, and health care and social assistance","43.3%","±3.3","41.7%","±6.0","43.8%","±17.4","34.4%","±5.5"
"    Arts, entertainment, and recreation, and accommodation and food services","7.2%","±1.6","6.5%","±3.3","2.5%","±2.5","9.1%","±4.0"
"    Other services (except public administration)","3.6%","±1.2","5.8%","±2.8","1.1%","±2.2","2.9%","±2.4"
"    Public administration","2.8%","±0.9","3.7%","±1.7","0.0%","±6.0","3.9%","±2.0"
"    Armed forces","0.2%","±0.2","0.1%","±0.2","0.0%","±6.0","0.3%","±0.4"
"CLASS OF WORKER","","","","","","","",""
"    Private wage and salary workers","86.5%","±2.0","84.3%","±4.2","90.3%","±8.7","89.3%","±3.9"
"    Government workers","7.3%","±1.4","11.8%","±3.4","9.7%","±8.7","6.3%","±2.5"
"    Self-employed workers in own not incorporated business","6.2%","±1.4","3.9%","±2.4","0.0%","±6.0","4.4%","±2.9"
"    Unpaid family workers","0.0%","±0.3","0.0%","±1.0","0.0%","±6.0","0.0%","±0.9"
"PLACE OF WORK","","","","","","","",""
"    Worked in state of residence","99.3%","±0.3","97.6%","±1.2","100.0%","±6.0","99.8%","±0.4"
"        Worked in county of residence","63.7%","±2.8","53.8%","±5.3","59.2%","±15.0","40.0%","±5.4"
"        Worked outside county of residence","35.7%","±2.8","43.8%","±5.4","40.8%","±15.0","59.8%","±5.4"
"    Worked outside state of residence","0.7%","±0.3","2.4%","±1.2","0.0%","±6.0","0.2%","±0.4"
"Workers 16 years and over who did not work at home","58,040","±2,619","16,146","±1,460","2,627","±893","18,648","±2,181"
"    TIME LEAVING HOME TO GO TO WORK","","","","","","","",""
"        12:00 a.m. to 4:59 a.m.","0.5%","±0.3","0.5%","±0.6","1.4%","±2.4","0.2%","±0.3"
"        5:00 a.m. to 5:29 a.m.","0.4%","±0.3","1.3%","±1.0","0.0%","±6.0","0.0%","±0.9"
"        5:30 a.m. to 5:59 a.m.","1.5%","±0.8","1.5%","±1.0","0.0%","±6.0","1.6%","±1.6"
"        6:00 a.m. to 6:29 a.m.","2.2%","±0.9","3.9%","±2.2","7.0%","±6.3","2.3%","±1.4"
"        6:30 a.m. to 6:59 a.m.","5.4%","±1.3","9.1%","±2.4","8.1%","±9.6","4.4%","±2.6"
"        7:00 a.m. to 7:29 a.m.","5.4%","±1.3","9.6%","±2.9","4.1%","±4.7","5.6%","±2.3"
"        7:30 a.m. to 7:59 a.m.","8.6%","±1.2","11.1%","±2.4","13.3%","±9.4","10.9%","±2.8"
"        8:00 a.m. to 8:29 a.m.","24.9%","±2.5","16.9%","±3.8","35.6%","±15.6","33.1%","±5.5"
"        8:30 a.m. to 8:59 a.m.","15.6%","±1.8","12.1%","±3.9","11.8%","±8.9","16.5%","±4.0"
"        9:00 a.m. to 11:59 p.m.","35.5%","±3.1","34.1%","±4.6","18.6%","±10.8","25.5%","±4.8"
"TRAVEL TIME TO WORK","","","","","","","",""
"    Less than 10 minutes","10.0%","±1.7","2.9%","±1.7","0.8%","±1.4","0.4%","±0.8"
"    10 to 14 minutes","12.7%","±1.8","9.8%","±2.7","16.0%","±11.6","1.5%","±1.5"
"    15 to 19 minutes","14.6%","±2.1","12.4%","±2.6","18.7%","±10.5","6.2%","±2.6"
"    20 to 24 minutes","14.9%","±2.4","19.0%","±4.4","7.7%","±7.0","13.6%","±4.5"
"    25 to 29 minutes","7.4%","±1.8","10.1%","±3.2","3.2%","±3.0","10.1%","±4.7"
"    30 to 34 minutes","18.2%","±2.3","19.6%","±4.4","24.2%","±15.3","30.8%","±5.1"
"    35 to 44 minutes","9.5%","±1.8","10.4%","±2.7","20.3%","±13.8","14.9%","±3.5"
"    45 to 59 minutes","7.5%","±1.4","8.6%","±2.8","6.2%","±7.4","13.7%","±3.4"
"    60 or more minutes","5.3%","±1.4","7.2%","±3.1","3.0%","±3.7","8.7%","±3.5"
"    Mean travel time to work (minutes)","25.0","±0.9","28.2","±1.8","26.1","±3.8","33.2","±1.6"
"Workers 16 years and over in households","55,246","±2,631","15,551","±1,422","2,329","±885","18,328","±2,145"
"    HOUSING TENURE","","","","","","","",""
"        Owner-occupied housing units","35.3%","±3.6","47.1%","±5.8","41.8%","±18.9","23.5%","±5.5"
"        Renter-occupied housing units","64.7%","±3.6","52.9%","±5.8","58.2%","±18.9","76.5%","±5.5"
"VEHICLES AVAILABLE","","","","","","","",""
"    No vehicle available","23.0%","±3.1","0.8%","±0.9","4.0%","±4.2","36.8%","±6.5"
"    1 vehicle available","47.4%","±3.6","52.9%","±6.7","45.1%","±14.7","42.1%","±6.3"
"    2 vehicles available","23.4%","±3.3","33.5%","±5.8","46.3%","±15.7","18.0%","±4.5"
"    3 or more vehicles available","6.3%","±2.2","12.8%","±5.2","4.6%","±4.8","3.2%","±1.8"
"PERCENT IMPUTED","","","","","","","",""
"    Means of transportation to work","14.7%","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Time leaving home to go to work","22.5%","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Travel time to work","17.0%","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Vehicles available","2.6%","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
