"Label (Grouping)","Cambridge city, Massachusetts!!Total!!Estimate","Cambridge city, Massachusetts!!Total!!Margin of Error","Cambridge city, Massachusetts!!Car, truck, or van -- drove alone!!Estimate","Cambridge city, Massachusetts!!Car, truck, or van -- drove alone!!Margin of Error","Cambridge city, Massachusetts!!Car, truck, or van -- carpooled!!Estimate","Cambridge city, Massachusetts!!Car, truck, or van -- carpooled!!Margin of Error","Cambridge city, Massachusetts!!Public transportation (excluding taxicab)!!Estimate","Cambridge city, Massachusetts!!Public transportation (excluding taxicab)!!Margin of Error"
"    $50,000 to $64,999","12.9%","±2.3","19.1%","±4.7","7.3%","±6.9","15.4%","±4.3"
"    $65,000 to $74,999","4.4%","±1.3","5.1%","±3.0","0.8%","±1.3","5.5%","±2.5"
"    $75,000 or more","26.6%","±2.7","37.5%","±5.8","25.9%","±12.9","25.4%","±5.1"
"Median earnings (dollars)","43,054","±4,076","60,450","±3,210","31,905","±9,343","47,042","±4,211"
"POVERTY STATUS IN THE PAST 12 MONTHS","","","","","","","",""
"    Workers 16 years and over for whom poverty status is determined","52,575","±2,581","15,855","±1,819","2,807","±1,090","16,788","±2,196"
"    Below 100 percent of the poverty level","6.4%","±1.8","1.8%","±1.3","13.4%","±11.5","5.6%","±3.0"
"    100 to 149 percent of the poverty level","3.0%","±1.2","2.0%","±1.7","0.6%","±1.0","3.9%","±2.7"
"    At or above 150 percent of the poverty level","90.7%","±2.2","96.2%","±2.2","86.0%","±11.5","90.5%","±4.0"
"Workers 16 years and over","59,111","±2,733","16,508","±1,834","2,979","±1,108","17,502","±2,315"
"OCCUPATION","","","","","","","",""
"    Management, business, science, and arts occupations","71.1%","±3.1","74.9%","±4.8","36.8%","±16.0","67.9%","±6.1"
"    Service occupations","10.9%","±2.2","10.8%","±3.7","30.3%","±14.4","7.5%","±4.1"
"    Sales and office occupations","13.4%","±1.7","10.1%","±3.0","14.5%","±10.4","18.8%","±3.9"
"    Natural resources, construction, and maintenance occupations","2.0%","±1.1","1.0%","±0.7","8.4%","±10.2","4.1%","±3.0"
"    Production, transportation, and material moving occupations","2.5%","±0.9","2.8%","±1.5","10.0%","±9.0","1.7%","±1.5"
"    Military specific occupations","0.1%","±0.2","0.4%","±0.6","0.0%","±5.6","0.0%","±1.0"
"INDUSTRY","","","","","","","",""
"    Agriculture, forestry, fishing and hunting, and mining","0.1%","±0.1","0.2%","±0.4","0.0%","±5.6","0.0%","±1.0"
"    Construction","1.0%","±0.7","1.3%","±1.0","7.2%","±10.3","0.2%","±0.2"
"    Manufacturing","5.7%","±1.3","12.5%","±4.1","0.0%","±5.6","2.1%","±1.1"
"    Wholesale trade","0.8%","±0.7","2.5%","±2.4","2.0%","±3.5","0.0%","±1.0"
"    Retail trade","5.7%","±1.7","6.4%","±2.8","14.8%","±15.7","7.5%","±3.4"
"    Transportation and warehousing, and utilities","1.5%","±0.7","1.0%","±0.9","3.6%","±4.5","1.3%","±1.4"
"    Information and finance and insurance, and real estate and rental and leasing","9.3%","±1.8","9.1%","±3.5","4.6%","±5.1","15.8%","±4.8"
"    Professional, scientific, management, and administrative and waste management services","22.1%","±3.1","16.4%","±4.7","14.7%","±10.1","25.7%","±5.1"
"    Educational services, and health care and social assistance","39.4%","±2.9","36.8%","±5.4","18.5%","±9.6","33.5%","±5.7"
"    Arts, entertainment, and recreation, and accommodation and food services","6.2%","±1.6","6.7%","±3.3","14.8%","±11.2","3.7%","±2.0"
"    Other services (except public administration)","4.9%","±1.5","2.7%","±1.5","17.9%","±13.5","4.7%","±3.2"
"    Public administration","3.2%","±1.2","3.9%","±3.5","1.8%","±3.3","5.5%","±2.3"
"    Armed forces","0.2%","±0.2","0.4%","±0.6","0.0%","±5.6","0.0%","±1.0"
"CLASS OF WORKER","","","","","","","",""
"    Private wage and salary workers","84.3%","±2.2","81.1%","±5.1","81.6%","±13.0","88.2%","±3.8"
"    Government workers","10.1%","±2.0","14.0%","±4.7","9.5%","±7.6","9.6%","±3.0"
"    Self-employed workers in own not incorporated business","5.6%","±1.4","4.8%","±1.9","8.9%","±11.4","2.2%","±2.7"
"    Unpaid family workers","0.0%","±0.3","0.0%","±1.0","0.0%","±5.6","0.0%","±1.0"
"PLACE OF WORK","","","","","","","",""
"    Worked in state of residence","98.5%","±0.7","98.3%","±1.2","93.9%","±7.6","99.7%","±0.5"
"        Worked in county of residence","63.8%","±3.5","63.2%","±5.5","60.1%","±15.6","32.7%","±6.7"
"        Worked outside county of residence","34.7%","±3.4","35.2%","±5.5","33.7%","±14.9","67.0%","±6.7"
"    Worked outside state of residence","1.5%","±0.7","1.7%","±1.2","6.1%","±7.6","0.3%","±0.5"
"Workers 16 years and over who did not work at home","53,842","±2,853","16,508","±1,834","2,979","±1,108","17,502","±2,315"
"TIME LEAVING HOME TO GO TO WORK","","","","","","","",""
"    12:00 a.m. to 4:59 a.m.","0.8%","±0.5","0.7%","±0.8","0.0%","±5.6","0.3%","±0.4"
"    5:00 a.m. to 5:29 a.m.","0.5%","±0.4","0.8%","±0.8","0.0%","±5.6","0.7%","±0.8"
"    5:30 a.m. to 5:59 a.m.","1.4%","±1.1","0.8%","±0.6","10.5%","±15.6","0.5%","±0.8"
"    6:00 a.m. to 6:29 a.m.","2.4%","±0.9","3.0%","±1.3","0.8%","±1.3","3.2%","±2.1"
"    6:30 a.m. to 6:59 a.m.","5.0%","±1.4","8.4%","±3.2","3.2%","±5.2","4.5%","±2.3"
"    7:00 a.m. to 7:29 a.m.","8.9%","±2.1","11.0%","±3.8","0.0%","±5.6","11.0%","±4.2"
"    7:30 a.m. to 7:59 a.m.","12.4%","±2.5","17.4%","±5.5","17.8%","±10.7","12.3%","±5.8"
"    8:00 a.m. to 8:29 a.m.","16.8%","±2.6","20.4%","±4.9","18.1%","±10.5","17.2%","±4.3"
"    8:30 a.m. to 8:59 a.m.","16.5%","±2.4","13.4%","±4.1","15.9%","±12.0","19.7%","±5.1"
"    9:00 a.m. to 11:59 p.m.","35.2%","±3.6","24.1%","±4.6","33.8%","±14.1","30.6%","±6.1"
"TRAVEL TIME TO WORK","","","","","","","",""
"    Less than 10 minutes","10.6%","±1.9","5.0%","±2.4","14.1%","±13.7","0.6%","±0.9"
"    10 to 14 minutes","14.0%","±2.6","10.3%","±3.4","12.1%","±9.8","2.0%","±2.6"
"    15 to 19 minutes","12.6%","±2.1","16.1%","±4.3","12.7%","±11.7","6.1%","±2.8"
"    20 to 24 minutes","14.8%","±2.1","15.5%","±3.9","12.3%","±9.5","15.7%","±3.9"
"    25 to 29 minutes","6.1%","±1.6","6.6%","±3.1","11.4%","±15.6","6.7%","±2.4"
"    30 to 34 minutes","18.5%","±2.6","17.8%","±4.2","9.4%","±6.9","33.0%","±6.0"
"    35 to 44 minutes","8.6%","±2.1","13.2%","±5.1","5.5%","±6.6","12.2%","±3.7"
"    45 to 59 minutes","7.7%","±1.9","8.5%","±3.2","5.2%","±6.2","13.6%","±4.5"
"    60 or more minutes","7.2%","±1.8","7.0%","±3.6","17.3%","±20.0","10.1%","±3.8"
"    Mean travel time to work (minutes)","26.4","±1.6","27.3","±2.0","33.3","±17.6","34.6","±2.1"
"Workers 16 years and over in households","52,506","±2,581","15,855","±1,819","2,807","±1,090","16,780","±2,199"
"HOUSING TENURE","","","","","","","",""
"    Owner-occupied housing units","34.9%","±3.8","47.8%","±5.5","41.6%","±20.3","24.9%","±5.4"
"    Renter-occupied housing units","65.1%","±3.8","52.2%","±5.5","58.4%","±20.3","75.1%","±5.4"
"VEHICLES AVAILABLE","","","","","","","",""
"    No vehicle available","26.8%","±3.7","3.3%","±2.3","34.6%","±23.2","38.9%","±6.2"
"    1 vehicle available","46.4%","±4.3","50.5%","±6.8","32.5%","±16.4","41.4%","±7.7"
"    2 vehicles available","20.9%","±3.2","38.2%","±6.9","27.9%","±19.7","13.7%","±4.1"
"    3 or more vehicles available","6.0%","±3.3","8.0%","±4.4","5.0%","±7.4","6.0%","±5.0"
"PERCENT IMPUTED","","","","","","","",""
"    Means of transportation to work","8.2%","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Time leaving home to go to work","12.0%","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Travel time to work","9.2%","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Vehicles available","1.2%","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
