"Label (Grouping)","Cambridge city, Massachusetts!!Total!!Estimate","Cambridge city, Massachusetts!!Total!!Margin of Error","Cambridge city, Massachusetts!!Car, truck, or van -- drove alone!!Estimate","Cambridge city, Massachusetts!!Car, truck, or van -- drove alone!!Margin of Error","Cambridge city, Massachusetts!!Car, truck, or van -- carpooled!!Estimate","Cambridge city, Massachusetts!!Car, truck, or van -- carpooled!!Margin of Error","Cambridge city, Massachusetts!!Public transportation (excluding taxicab)!!Estimate","Cambridge city, Massachusetts!!Public transportation (excluding taxicab)!!Margin of Error"
"            Naturalized U.S. citizen","10.9%","±1.7","16.1%","±5.0","15.8%","±12.1","14.4%","±6.3"
"            Not a U.S. citizen","21.3%","±2.6","10.1%","±4.7","37.4%","±23.0","22.3%","±7.5"
"    LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH","","","","","","","",""
"        Speak language other than English","33.7%","±3.3","26.3%","±6.7","61.4%","±19.8","40.3%","±8.7"
"            Speak English ""very well""","27.9%","±3.1","21.4%","±5.9","50.0%","±22.6","32.6%","±8.3"
"            Speak English less than ""very well""","5.8%","±1.2","4.9%","±2.5","11.3%","±10.7","7.7%","±4.6"
"EARNINGS IN THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS) FOR WORKERS","","","","","","","",""
"    Workers 16 years and over with earnings","70,450","±3,625","13,004","±1,878","2,202","±1,012","8,520","±1,542"
"        $1 to $9,999 or loss","11.8%","±2.7","8.8%","±3.7","3.0%","±6.2","9.9%","±5.7"
"        $10,000 to $14,999","3.8%","±1.3","6.6%","±3.4","11.2%","±11.1","5.2%","±4.3"
"        $15,000 to $24,999","4.3%","±1.2","3.0%","±2.4","6.2%","±6.5","4.4%","±4.1"
"        $25,000 to $34,999","6.5%","±1.5","7.3%","±2.8","7.9%","±9.5","8.0%","±4.9"
"        $35,000 to $49,999","11.2%","±1.9","7.6%","±3.0","3.5%","±6.0","13.6%","±6.9"
"        $50,000 to $64,999","10.9%","±1.8","14.4%","±5.0","6.0%","±5.9","15.7%","±6.3"
"        $65,000 to $74,999","6.7%","±1.7","8.0%","±3.2","24.6%","±22.2","8.3%","±4.9"
"        $75,000 or more","44.7%","±3.4","44.4%","±7.2","37.7%","±16.8","34.9%","±9.1"
"        Median earnings (dollars)","68,234","±6,981","69,103","±10,204","73,135","±11,369","56,398","±8,671"
"POVERTY STATUS IN THE PAST 12 MONTHS","","","","","","","",""
"    Workers 16 years and over for whom poverty status is determined","63,388","±3,845","12,465","±1,782","1,944","±965","8,313","±1,483"
"        Below 100 percent of the poverty level","7.0%","±2.3","6.7%","±4.5","2.3%","±3.8","11.5%","±7.5"
"        100 to 149 percent of the poverty level","2.2%","±0.9","0.0%","±1.6","2.7%","±4.6","4.3%","±4.2"
"        At or above 150 percent of the poverty level","90.8%","±2.5","93.3%","±4.5","95.0%","±5.6","84.2%","±8.2"
"Workers 16 years and over","70,450","±3,625","13,004","±1,878","2,202","±1,012","8,520","±1,542"
"    OCCUPATION","","","","","","","",""
"        Management, business, science, and arts occupations","82.7%","±2.2","71.6%","±5.9","83.7%","±11.6","83.5%","±6.2"
"        Service occupations","4.0%","±1.0","6.4%","±2.8","0.0%","±8.6","5.1%","±2.9"
"        Sales and office occupations","9.1%","±1.5","11.0%","±3.7","8.5%","±9.7","10.2%","±6.0"
"        Natural resources, construction, and maintenance occupations","1.2%","±0.8","4.8%","±3.8","1.8%","±3.0","0.6%","±0.9"
"        Production, transportation, and material moving occupations","2.8%","±1.2","5.5%","±4.9","6.0%","±5.5","0.7%","±1.2"
"        Military specific occupations","0.2%","±0.2","0.7%","±0.9","0.0%","±8.6","0.0%","±2.3"
"    INDUSTRY","","","","","","","",""
"        Agriculture, forestry, fishing and hunting, and mining","0.2%","±0.3","0.0%","±1.5","0.0%","±8.6","0.0%","±2.3"
"        Construction","0.7%","±0.4","1.1%","±1.2","0.0%","±8.6","1.1%","±1.3"
"        Manufacturing","7.0%","±1.5","11.0%","±4.8","5.8%","±6.8","2.6%","±2.9"
"        Wholesale trade","0.7%","±0.5","0.0%","±1.5","0.0%","±8.6","0.7%","±1.2"
"        Retail trade","6.2%","±1.5","9.4%","±4.5","7.4%","±8.2","7.5%","±5.8"
"        Transportation and warehousing, and utilities","2.5%","±1.0","6.1%","±3.5","0.0%","±8.6","1.5%","±1.6"
"        Information and finance and insurance, and real estate and rental and leasing","7.3%","±1.3","2.2%","±1.9","7.6%","±12.4","4.0%","±3.3"
"        Professional, scientific, management, and administrative and waste management services","27.0%","±3.3","20.7%","±6.5","34.8%","±20.8","36.5%","±8.7"
"        Educational services, and health care and social assistance","40.8%","±3.3","38.1%","±7.8","27.7%","±13.6","43.4%","±9.4"
"        Arts, entertainment, and recreation, and accommodation and food services","2.9%","±1.0","3.2%","±2.4","6.8%","±7.2","0.9%","±1.1"
"        Other services (except public administration)","2.1%","±0.9","2.2%","±1.7","5.8%","±9.3","1.6%","±1.4"
"        Public administration","2.4%","±0.9","5.2%","±3.3","4.1%","±4.6","0.2%","±0.4"
"        Armed forces","0.2%","±0.2","0.7%","±0.9","0.0%","±8.6","0.0%","±2.3"
"    CLASS OF WORKER","","","","","","","",""
"        Private wage and salary workers","87.9%","±2.1","79.3%","±5.8","92.8%","±7.2","92.5%","±4.7"
"        Government workers","8.1%","±1.9","15.8%","±5.5","4.1%","±4.6","7.5%","±4.7"
"        Self-employed workers in own not incorporated business","4.1%","±1.2","4.9%","±2.4","3.1%","±5.4","0.0%","±2.3"
"        Unpaid family workers","0.0%","±0.3","0.0%","±1.5","0.0%","±8.6","0.0%","±2.3"
"    PLACE OF WORK","","","","","","","",""
"        Worked in state of residence","99.1%","±0.6","96.2%","±3.3","98.0%","±3.4","100.0%","±2.3"
"            Worked in county of residence","81.4%","±2.4","59.9%","±7.3","80.1%","±10.6","35.2%","±8.8"
"            Worked outside county of residence","17.7%","±2.4","36.3%","±7.3","17.9%","±9.9","64.8%","±8.8"
"        Worked outside state of residence","0.9%","±0.6","3.8%","±3.3","2.0%","±3.4","0.0%","±2.3"
"Workers 16 years and over who did not work from home","39,193","±3,350","13,004","±1,878","2,202","±1,012","8,520","±1,542"
"    TIME OF DEPARTURE TO GO TO WORK","","","","","","","",""
"        12:00 a.m. to 4:59 a.m.","1.4%","±1.2","2.3%","±3.1","0.0%","±8.6","1.4%","±2.3"
"        5:00 a.m. to 5:29 a.m.","0.8%","±0.7","0.5%","±0.8","8.6%","±10.7","0.0%","±2.3"
"        5:30 a.m. to 5:59 a.m.","0.8%","±0.6","2.0%","±1.8","0.0%","±8.6","0.5%","±0.8"
"        6:00 a.m. to 6:29 a.m.","3.1%","±0.9","5.7%","±2.5","2.4%","±4.0","3.4%","±3.2"
"        6:30 a.m. to 6:59 a.m.","3.3%","±1.3","4.9%","±2.5","0.0%","±8.6","1.9%","±1.9"
"        7:00 a.m. to 7:29 a.m.","13.6%","±3.0","22.9%","±5.5","2.5%","±4.3","10.9%","±5.6"
"        7:30 a.m. to 7:59 a.m.","9.4%","±2.4","7.3%","±3.4","22.6%","±16.0","5.7%","±4.4"
"        8:00 a.m. to 8:29 a.m.","22.7%","±3.5","17.6%","±5.6","4.0%","±5.1","29.8%","±9.0"
"        8:30 a.m. to 8:59 a.m.","11.5%","±2.8","9.7%","±3.6","2.0%","±3.2","11.3%","±6.6"
"        9:00 a.m. to 11:59 p.m.","33.5%","±3.6","27.1%","±5.5","57.9%","±17.9","35.0%","±9.9"
"    TRAVEL TIME TO WORK","","","","","","","",""
"        Less than 10 minutes","6.0%","±1.8","3.6%","±1.9","4.9%","±6.8","0.0%","±2.3"
"        10 to 14 minutes","14.2%","±3.4","13.4%","±4.0","27.0%","±22.5","0.5%","±0.9"
"        15 to 19 minutes","18.7%","±3.3","17.3%","±5.8","2.5%","±4.3","2.2%","±2.4"
"        20 to 24 minutes","14.5%","±2.4","18.0%","±4.5","20.9%","±20.6","11.0%","±5.4"
"        25 to 29 minutes","11.0%","±2.6","11.7%","±4.9","20.8%","±15.5","15.7%","±6.9"
"        30 to 34 minutes","14.8%","±2.7","16.9%","±5.3","14.2%","±13.0","23.4%","±7.0"
"        35 to 44 minutes","6.9%","±1.7","6.5%","±2.9","1.7%","±2.9","11.2%","±4.4"
"        45 to 59 minutes","9.2%","±2.4","6.8%","±3.8","8.1%","±8.2","26.2%","±7.3"
"        60 or more minutes","4.8%","±1.8","5.8%","±3.0","0.0%","±8.6","9.8%","±5.9"
"        Mean travel time to work (minutes)","25.2","±1.3","26.8","±2.5","21.9","±4.8","36.0","±2.6"
"Workers 16 years and over in households","63,257","±3,860","12,427","±1,764","1,944","±965","8,313","±1,483"
"    HOUSING TENURE","","","","","","","",""
"        Owner-occupied housing units","29.9%","±3.8","40.2%","±7.9","38.3%","±22.5","20.9%","±8.0"
"        Renter-occupied housing units","70.1%","±3.8","59.8%","±7.9","61.7%","±22.5","79.1%","±8.0"
"    VEHICLES AVAILABLE","","","","","","","",""
"        No vehicle available","25.1%","±3.8","3.8%","±3.3","2.3%","±3.8","39.3%","±8.8"
"        1 vehicle available","50.3%","±4.8","55.1%","±8.7","63.8%","±19.8","41.1%","±9.2"
"        2 vehicles available","20.0%","±3.4","31.5%","±7.2","20.7%","±16.6","16.9%","±6.7"
"        3 or more vehicles available","4.6%","±2.2","9.7%","±5.8","13.2%","±13.5","2.8%","±4.5"
"PERCENT ALLOCATED","","","","","","","",""
"    Means of transportation to work","15.4%","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Time of departure to go to work","34.2%","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Travel time to work","26.1%","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Vehicles available","3.1%","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
