"Label (Grouping)","Cambridge city, Massachusetts!!Total!!Estimate","Cambridge city, Massachusetts!!Total!!Margin of Error","Cambridge city, Massachusetts!!Car, truck, or van -- drove alone!!Estimate","Cambridge city, Massachusetts!!Car, truck, or van -- drove alone!!Margin of Error","Cambridge city, Massachusetts!!Car, truck, or van -- carpooled!!Estimate","Cambridge city, Massachusetts!!Car, truck, or van -- carpooled!!Margin of Error","Cambridge city, Massachusetts!!Public transportation (excluding taxicab)!!Estimate","Cambridge city, Massachusetts!!Public transportation (excluding taxicab)!!Margin of Error"
"    Government workers","11.9%","±2.4","16.2%","±5.0","2.1%","±3.6","11.2%","±6.2"
"    Self-employed workers in own not incorporated business","5.4%","±1.3","4.2%","±2.1","2.1%","±3.6","2.8%","±1.6"
"    Unpaid family workers","0.0%","±0.3","0.0%","±1.1","0.0%","±7.2","0.0%","±1.2"
"PLACE OF WORK","","","","","","","",""
"    Worked in state of residence","97.7%","±1.0","97.9%","±1.6","88.8%","±11.3","99.3%","±0.9"
"        Worked in county of residence","63.8%","±3.9","56.1%","±6.8","57.3%","±13.4","38.5%","±7.7"
"        Worked outside county of residence","34.0%","±4.1","41.8%","±6.6","31.6%","±14.2","60.7%","±7.7"
"    Worked outside state of residence","2.3%","±1.0","2.1%","±1.6","11.2%","±11.3","0.7%","±0.9"
"Workers 16 years and over who did not work at home","52,265","±3,517","16,544","±2,459","2,502","±872","14,917","±2,204"
"TIME LEAVING HOME TO GO TO WORK","","","","","","","",""
"    12:00 a.m. to 4:59 a.m.","2.4%","±1.0","1.6%","±1.4","0.0%","±7.2","3.1%","±2.2"
"    5:00 a.m. to 5:29 a.m.","0.9%","±0.5","1.0%","±1.0","6.3%","±5.7","0.9%","±1.1"
"    5:30 a.m. to 5:59 a.m.","0.5%","±0.4","0.7%","±0.9","0.0%","±7.2","0.0%","±1.2"
"    6:00 a.m. to 6:29 a.m.","3.1%","±1.2","5.6%","±2.9","4.3%","±4.9","2.7%","±2.3"
"    6:30 a.m. to 6:59 a.m.","4.6%","±1.4","8.6%","±3.4","0.0%","±7.2","3.4%","±2.0"
"    7:00 a.m. to 7:29 a.m.","10.3%","±2.5","18.6%","±6.9","16.1%","±11.1","10.8%","±3.6"
"    7:30 a.m. to 7:59 a.m.","10.9%","±2.2","13.7%","±3.9","9.6%","±7.6","14.6%","±5.4"
"    8:00 a.m. to 8:29 a.m.","18.5%","±2.8","15.4%","±3.7","13.0%","±12.5","25.6%","±6.4"
"    8:30 a.m. to 8:59 a.m.","19.3%","±2.7","12.2%","±4.7","22.6%","±12.2","17.8%","±5.3"
"    9:00 a.m. to 11:59 p.m.","29.6%","±3.0","22.7%","±4.6","28.1%","±12.8","21.2%","±5.3"
"TRAVEL TIME TO WORK","","","","","","","",""
"    Less than 10 minutes","9.1%","±2.1","5.4%","±2.9","16.3%","±13.1","0.0%","±1.2"
"    10 to 14 minutes","15.0%","±2.6","11.8%","±4.0","10.2%","±10.1","2.3%","±1.4"
"    15 to 19 minutes","14.8%","±2.8","15.3%","±4.7","24.0%","±12.5","4.6%","±2.3"
"    20 to 24 minutes","13.8%","±2.4","18.2%","±4.5","6.6%","±6.5","13.0%","±6.0"
"    25 to 29 minutes","8.2%","±1.8","11.2%","±3.4","11.1%","±8.9","8.6%","±3.5"
"    30 to 34 minutes","17.5%","±2.5","20.6%","±5.3","16.4%","±11.0","26.7%","±6.4"
"    35 to 44 minutes","8.9%","±2.1","6.6%","±3.0","0.0%","±7.2","16.4%","±4.6"
"    45 to 59 minutes","8.4%","±2.0","7.6%","±3.5","8.6%","±7.0","19.2%","±5.5"
"    60 or more minutes","4.3%","±1.6","3.3%","±1.7","6.7%","±6.7","9.3%","±4.6"
"    Mean travel time to work (minutes)","24.9","±1.4","25.1","±1.9","24.5","±6.6","35.8","±3.0"
"Workers 16 years and over in households","52,943","±3,337","16,421","±2,445","2,433","±864","14,655","±2,194"
"HOUSING TENURE","","","","","","","",""
"    Owner-occupied housing units","35.1%","±4.6","43.0%","±7.8","57.0%","±15.7","24.1%","±5.8"
"    Renter-occupied housing units","64.9%","±4.6","57.0%","±7.8","43.0%","±15.7","75.9%","±5.8"
"VEHICLES AVAILABLE","","","","","","","",""
"    No vehicle available","24.2%","±4.3","1.7%","±1.2","2.1%","±3.5","36.5%","±6.8"
"    1 vehicle available","48.4%","±4.9","50.6%","±7.2","63.4%","±14.2","44.1%","±8.1"
"    2 vehicles available","21.2%","±3.8","33.5%","±7.2","32.0%","±13.5","15.2%","±5.5"
"    3 or more vehicles available","6.2%","±3.1","14.2%","±6.8","2.5%","±4.1","4.2%","±2.8"
"PERCENT IMPUTED","","","","","","","",""
"    Means of transportation to work","6.4%","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Time leaving home to go to work","10.4%","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Travel time to work","9.7%","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Vehicles available","1.0%","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
