"Label (Grouping)","Cambridge city, Massachusetts!!Total!!Estimate","Cambridge city, Massachusetts!!Total!!Margin of Error","Cambridge city, Massachusetts!!Car, truck, or van -- drove alone!!Estimate","Cambridge city, Massachusetts!!Car, truck, or van -- drove alone!!Margin of Error","Cambridge city, Massachusetts!!Car, truck, or van -- carpooled!!Estimate","Cambridge city, Massachusetts!!Car, truck, or van -- carpooled!!Margin of Error","Cambridge city, Massachusetts!!Public transportation (excluding taxicab)!!Estimate","Cambridge city, Massachusetts!!Public transportation (excluding taxicab)!!Margin of Error"
"        Native Hawaiian and Other Pacific Islander","N","N","N","N","N","N","N","N"
"        Some other race","N","N","N","N","N","N","N","N"
"    Two or more races","3.2%","±0.9","2.5%","±1.8","9.2%","±7.6","3.3%","±1.8"
"Hispanic or Latino origin (of any race)","7.8%","±1.6","7.0%","±2.8","17.2%","±11.6","5.9%","±2.5"
"White alone, not Hispanic or Latino","64.1%","±3.5","69.2%","±6.7","74.2%","±13.5","60.0%","±6.7"
"NATIVITY AND CITIZENSHIP STATUS","","","","","","","",""
"    Native","70.1%","±2.9","75.4%","±4.6","79.2%","±14.9","66.0%","±6.0"
"    Foreign born","29.9%","±2.9","24.6%","±4.6","20.8%","±14.9","34.0%","±6.0"
"        Naturalized U.S. citizen","12.8%","±1.8","13.7%","±3.7","3.8%","±5.2","13.9%","±4.0"
"        Not a U.S. citizen","17.1%","±2.4","10.8%","±3.5","17.0%","±12.5","20.1%","±5.4"
"LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH","","","","","","","",""
"    Speak language other than English","31.5%","±3.4","28.6%","±5.9","18.6%","±13.6","32.6%","±6.5"
"        Speak English ""very well""","26.5%","±3.2","24.9%","±5.3","18.6%","±13.6","25.8%","±5.9"
"        Speak English less than ""very well""","5.0%","±1.8","3.7%","±2.4","0.0%","±12.1","6.8%","±3.9"
"EARNINGS IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) FOR WORKERS","","","","","","","",""
"    Workers 16 years and over with earnings","64,728","±2,911","18,337","±1,809","1,417","±563","17,671","±2,043"
"        $1 to $9,999 or loss","11.4%","±2.0","7.2%","±2.5","11.2%","±11.2","6.1%","±2.4"
"        $10,000 to $14,999","3.6%","±1.1","3.9%","±2.0","6.6%","±8.6","1.4%","±1.1"
"        $15,000 to $24,999","5.9%","±1.8","7.9%","±3.0","3.2%","±6.4","2.1%","±1.4"
"        $25,000 to $34,999","9.4%","±1.6","8.5%","±4.1","14.4%","±11.7","11.2%","±3.7"
"        $35,000 to $49,999","14.9%","±2.2","11.1%","±3.7","14.7%","±14.8","18.8%","±4.3"
"        $50,000 to $64,999","11.0%","±1.9","11.9%","±3.0","15.7%","±15.7","14.6%","±4.1"
"        $65,000 to $74,999","7.0%","±2.0","7.0%","±3.1","0.0%","±12.1","12.2%","±4.2"
"        $75,000 or more","36.8%","±2.9","42.7%","±5.2","34.3%","±19.2","33.7%","±5.9"
"Median earnings (dollars)","55,255","±4,276","63,966","±6,545","50,012","±17,891","58,076","±7,613"
"POVERTY STATUS IN THE PAST 12 MONTHS","","","","","","","",""
"    Workers 16 years and over for whom poverty status is determined","57,508","±3,256","17,434","±1,705","1,241","±557","17,609","±2,030"
"        Below 100 percent of the poverty level","4.0%","±1.4","4.0%","±2.5","2.2%","±3.5","4.3%","±2.4"
"        100 to 149 percent of the poverty level","1.4%","±0.9","2.3%","±2.5","0.0%","±13.6","0.9%","±0.9"
"        At or above 150 percent of the poverty level","94.6%","±1.7","93.7%","±3.7","97.8%","±3.5","94.8%","±2.5"
"Workers 16 years and over","64,728","±2,911","18,337","±1,809","1,417","±563","17,671","±2,043"
"    OCCUPATION","","","","","","","",""
"        Management, business, science, and arts occupations","75.8%","±2.8","72.7%","±5.3","63.2%","±16.3","77.7%","±5.3"
"        Service occupations","6.0%","±1.5","7.8%","±3.6","8.4%","±10.0","4.5%","±2.5"
"        Sales and office occupations","14.1%","±2.3","12.5%","±3.3","23.4%","±13.2","15.5%","±4.9"
"        Natural resources, construction, and maintenance occupations","2.2%","±1.0","4.2%","±2.6","3.2%","±6.4","1.3%","±1.1"
"        Production, transportation, and material moving occupations","1.8%","±0.9","2.9%","±2.1","1.8%","±3.7","0.9%","±0.8"
"        Military specific occupations","0.0%","±0.3","0.0%","±1.0","0.0%","±12.1","0.0%","±1.0"
"INDUSTRY","","","","","","","",""
"    Agriculture, forestry, fishing and hunting, and mining","0.3%","±0.3","0.0%","±1.0","0.0%","±12.1","0.7%","±0.9"
"    Construction","1.2%","±0.6","2.0%","±1.4","0.0%","±12.1","0.0%","±1.0"
"    Manufacturing","6.1%","±1.3","7.3%","±3.0","10.6%","±11.7","5.4%","±2.6"
"    Wholesale trade","1.3%","±0.8","2.5%","±2.1","6.4%","±9.0","0.6%","±0.7"
"    Retail trade","5.5%","±1.3","7.4%","±2.8","6.4%","±9.1","5.5%","±2.3"
"    Transportation and warehousing, and utilities","2.0%","±0.8","2.5%","±1.6","3.7%","±5.0","1.3%","±0.8"
"    Information and finance and insurance, and real estate and rental and leasing","8.6%","±1.6","5.3%","±1.9","9.5%","±8.2","11.8%","±3.0"
"    Professional, scientific, management, and administrative and waste management services","26.0%","±2.1","18.9%","±4.3","15.5%","±14.3","28.4%","±5.4"
"    Educational services, and health care and social assistance","38.2%","±2.4","42.5%","±5.7","41.1%","±16.3","33.8%","±4.5"
"    Arts, entertainment, and recreation, and accommodation and food services","5.2%","±1.2","6.3%","±2.6","0.6%","±1.1","4.8%","±2.7"
"    Other services (except public administration)","3.1%","±0.8","2.9%","±1.8","6.1%","±9.8","5.1%","±2.1"
"    Public administration","2.4%","±0.9","2.1%","±1.6","0.0%","±12.1","2.6%","±2.0"
"    Armed forces","0.1%","±0.1","0.3%","±0.4","0.0%","±12.1","0.0%","±1.0"
"CLASS OF WORKER","","","","","","","",""
"    Private wage and salary workers","87.0%","±2.0","83.3%","±3.6","88.0%","±10.6","90.1%","±4.6"
"    Government workers","8.6%","±1.6","12.6%","±3.6","4.4%","±7.3","8.9%","±4.6"
"    Self-employed workers in own not incorporated business","4.3%","±1.1","4.0%","±2.2","7.6%","±8.8","1.0%","±0.6"
"    Unpaid family workers","0.1%","±0.2","0.1%","±0.2","0.0%","±12.1","0.0%","±1.0"
"PLACE OF WORK","","","","","","","",""
"    Worked in state of residence","98.3%","±0.8","99.2%","±0.7","95.3%","±7.2","99.0%","±0.8"
"        Worked in county of residence","64.1%","±2.6","68.4%","±4.3","79.3%","±15.4","29.2%","±5.0"
"        Worked outside county of residence","34.3%","±2.5","30.8%","±4.2","16.0%","±13.9","69.7%","±5.0"
"    Worked outside state of residence","1.7%","±0.8","0.8%","±0.7","4.7%","±7.2","1.0%","±0.8"
"Workers 16 years and over who did not work at home","59,016","±3,085","18,337","±1,809","1,417","±563","17,671","±2,043"
"    TIME LEAVING HOME TO GO TO WORK","","","","","","","",""
"        12:00 a.m. to 4:59 a.m.","0.8%","±0.7","0.2%","±0.3","10.2%","±11.8","0.0%","±1.0"
"        5:00 a.m. to 5:29 a.m.","1.5%","±0.8","0.8%","±0.9","0.0%","±12.1","2.3%","±2.3"
"        5:30 a.m. to 5:59 a.m.","1.3%","±0.8","2.0%","±2.2","1.7%","±2.9","1.3%","±1.5"
"        6:00 a.m. to 6:29 a.m.","3.3%","±1.0","4.7%","±2.2","2.4%","±4.1","4.7%","±2.8"
"        6:30 a.m. to 6:59 a.m.","5.6%","±1.5","7.7%","±2.9","25.5%","±16.2","6.9%","±2.8"
"        7:00 a.m. to 7:29 a.m.","10.4%","±1.6","14.6%","±3.2","8.9%","±14.8","13.5%","±3.4"
"        7:30 a.m. to 7:59 a.m.","11.7%","±1.8","13.1%","±3.2","11.2%","±12.7","16.6%","±3.9"
"        8:00 a.m. to 8:29 a.m.","17.1%","±2.5","13.8%","±3.8","13.8%","±10.4","21.5%","±4.8"
"        8:30 a.m. to 8:59 a.m.","15.5%","±1.8","12.4%","±3.5","8.3%","±7.1","17.1%","±3.7"
"        9:00 a.m. to 11:59 p.m.","32.8%","±2.9","30.7%","±5.7","18.1%","±13.4","16.2%","±3.7"
"TRAVEL TIME TO WORK","","","","","","","",""
"    Less than 10 minutes","11.0%","±1.5","6.7%","±3.0","1.7%","±2.9","0.3%","±0.5"
"    10 to 14 minutes","12.5%","±2.1","10.4%","±3.7","21.7%","±15.8","0.6%","±0.8"
"    15 to 19 minutes","14.2%","±2.2","16.0%","±5.1","19.6%","±14.4","4.4%","±2.4"
"    20 to 24 minutes","13.9%","±1.9","14.1%","±3.7","16.1%","±11.5","12.3%","±3.9"
"    25 to 29 minutes","6.2%","±1.3","9.2%","±2.8","13.5%","±12.4","5.9%","±2.6"
"    30 to 34 minutes","16.2%","±2.3","19.1%","±4.3","17.1%","±14.7","23.8%","±4.5"
"    35 to 44 minutes","12.2%","±2.2","11.0%","±3.2","6.6%","±8.6","24.4%","±5.5"
"    45 to 59 minutes","9.6%","±1.7","10.9%","±3.0","3.7%","±6.1","19.2%","±4.3"
"    60 or more minutes","4.2%","±1.2","2.7%","±1.2","0.0%","±12.1","9.0%","±2.9"
"    Mean travel time to work (minutes)","26.0","±1.2","25.8","±1.2","21.3","±4.2","37.4","±2.1"
"Workers 16 years and over in households","57,433","±3,234","17,383","±1,674","1,241","±557","17,603","±2,027"
"    HOUSING TENURE","","","","","","","",""
"        Owner-occupied housing units","35.3%","±4.2","41.2%","±5.8","46.3%","±23.0","25.6%","±5.6"
"        Renter-occupied housing units","64.7%","±4.2","58.8%","±5.8","53.7%","±23.0","74.4%","±5.6"
"VEHICLES AVAILABLE","","","","","","","",""
"    No vehicle available","21.5%","±3.3","1.7%","±1.3","11.8%","±12.7","36.1%","±6.7"
"    1 vehicle available","51.7%","±4.0","54.4%","±6.3","51.4%","±21.6","48.2%","±6.3"
"    2 vehicles available","21.2%","±3.4","33.8%","±6.1","28.7%","±17.5","13.6%","±4.3"
"    3 or more vehicles available","5.6%","±1.7","10.1%","±3.5","8.1%","±13.3","2.1%","±1.7"
"PERCENT ALLOCATED","","","","","","","",""
"    Means of transportation to work","14.0%","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Time leaving home to go to work","24.6%","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Travel time to work","18.5%","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Vehicles available","0.6%","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
