"Label (Grouping)","Cambridge city, Massachusetts!!Total!!Estimate","Cambridge city, Massachusetts!!Total!!Margin of Error","Cambridge city, Massachusetts!!Car, truck, or van -- drove alone!!Estimate","Cambridge city, Massachusetts!!Car, truck, or van -- drove alone!!Margin of Error","Cambridge city, Massachusetts!!Car, truck, or van -- carpooled!!Estimate","Cambridge city, Massachusetts!!Car, truck, or van -- carpooled!!Margin of Error","Cambridge city, Massachusetts!!Public transportation (excluding taxicab)!!Estimate","Cambridge city, Massachusetts!!Public transportation (excluding taxicab)!!Margin of Error"
"    Educational services, and health care and social assistance","43.2%","±3.4","39.2%","±5.5","42.2%","±14.9","39.2%","±7.0"
"    Arts, entertainment, and recreation, and accommodation and food services","7.8%","±1.9","6.6%","±3.0","4.3%","±6.1","9.1%","±3.6"
"    Other services (except public administration)","4.9%","±1.4","4.2%","±2.3","2.8%","±4.5","3.0%","±2.0"
"    Public administration","3.0%","±0.9","5.4%","±2.1","5.5%","±5.6","1.5%","±1.0"
"    Armed forces","0.0%","±0.3","0.0%","±0.8","0.0%","±7.2","0.0%","±1.1"
"CLASS OF WORKER","","","","","","","",""
"    Private wage and salary workers","86.3%","±2.2","79.3%","±4.5","81.6%","±10.9","94.0%","±2.7"
"    Government workers","7.8%","±1.6","12.6%","±3.0","13.4%","±8.5","5.1%","±2.5"
"    Self-employed workers in own not incorporated business","5.8%","±1.5","8.2%","±3.8","4.9%","±5.9","0.9%","±0.9"
"    Unpaid family workers","0.0%","±0.3","0.0%","±0.8","0.0%","±7.2","0.0%","±1.1"
"PLACE OF WORK","","","","","","","",""
"    Worked in state of residence","98.2%","±0.7","97.8%","±1.4","97.4%","±3.2","98.4%","±1.3"
"        Worked in county of residence","63.9%","±2.6","57.5%","±4.6","44.7%","±13.8","34.4%","±6.4"
"        Worked outside county of residence","34.3%","±2.5","40.3%","±4.3","52.7%","±14.5","64.0%","±6.4"
"    Worked outside state of residence","1.8%","±0.7","2.2%","±1.4","2.6%","±3.2","1.6%","±1.3"
"Workers 16 years and over who did not work at home","56,088","±2,632","18,577","±2,002","2,097","±596","14,684","±1,630"
"TIME LEAVING HOME TO GO TO WORK","","","","","","","",""
"    12:00 a.m. to 4:59 a.m.","1.0%","±0.5","2.2%","±1.3","0.0%","±7.2","0.3%","±0.5"
"    5:00 a.m. to 5:29 a.m.","0.7%","±0.4","1.3%","±1.0","0.0%","±7.2","0.6%","±0.7"
"    5:30 a.m. to 5:59 a.m.","1.1%","±0.8","1.1%","±0.8","2.2%","±3.7","1.6%","±2.2"
"    6:00 a.m. to 6:29 a.m.","3.1%","±1.0","4.8%","±2.1","0.0%","±7.2","5.2%","±2.5"
"    6:30 a.m. to 6:59 a.m.","4.6%","±1.3","8.0%","±3.0","8.5%","±8.4","3.3%","±1.9"
"    7:00 a.m. to 7:29 a.m.","7.3%","±1.4","13.3%","±3.4","9.1%","±6.7","4.7%","±2.2"
"    7:30 a.m. to 7:59 a.m.","10.4%","±2.1","10.3%","±3.2","17.5%","±10.7","13.6%","±4.4"
"    8:00 a.m. to 8:29 a.m.","17.2%","±2.6","16.3%","±3.8","13.8%","±12.0","22.6%","±5.0"
"    8:30 a.m. to 8:59 a.m.","15.7%","±2.3","14.2%","±3.6","13.3%","±11.6","18.0%","±4.9"
"    9:00 a.m. to 11:59 p.m.","38.9%","±3.6","28.5%","±5.6","35.6%","±16.0","30.1%","±5.8"
"TRAVEL TIME TO WORK","","","","","","","",""
"    Less than 10 minutes","11.8%","±2.2","6.6%","±3.1","15.8%","±12.0","1.7%","±2.2"
"    10 to 14 minutes","12.4%","±2.0","7.3%","±2.8","16.8%","±11.9","2.4%","±1.7"
"    15 to 19 minutes","16.5%","±2.2","15.5%","±3.6","29.9%","±16.1","6.4%","±3.1"
"    20 to 24 minutes","16.0%","±2.2","18.9%","±4.1","3.8%","±4.8","16.1%","±5.0"
"    25 to 29 minutes","7.2%","±1.8","10.2%","±3.1","4.1%","±5.7","8.7%","±3.8"
"    30 to 34 minutes","15.6%","±1.8","15.9%","±4.0","13.7%","±8.8","30.6%","±4.7"
"    35 to 44 minutes","8.1%","±1.7","9.2%","±2.7","4.1%","±4.7","14.7%","±5.2"
"    45 to 59 minutes","7.7%","±1.5","11.7%","±2.8","7.7%","±7.2","12.5%","±4.5"
"    60 or more minutes","4.7%","±1.3","4.6%","±2.1","4.1%","±5.0","6.9%","±3.1"
"    Mean travel time to work (minutes)","24.4","±1.2","27.3","±2.0","22.2","±5.0","32.7","±2.4"
"Workers 16 years and over in households","52,274","±3,068","17,911","±1,898","1,677","±549","13,893","±1,706"
"HOUSING TENURE","","","","","","","",""
"    Owner-occupied housing units","38.7%","±3.6","45.6%","±5.5","48.7%","±15.8","29.3%","±6.1"
"    Renter-occupied housing units","61.3%","±3.6","54.4%","±5.5","51.3%","±15.8","70.7%","±6.1"
"VEHICLES AVAILABLE","","","","","","","",""
"    No vehicle available","20.9%","±2.9","4.1%","±2.0","0.0%","±9.0","31.8%","±6.7"
"    1 vehicle available","44.0%","±4.5","42.1%","±5.5","53.3%","±16.1","44.5%","±8.1"
"    2 vehicles available","29.2%","±4.3","45.3%","±6.0","28.5%","±15.1","20.1%","±6.5"
"    3 or more vehicles available","5.9%","±2.5","8.5%","±3.9","18.2%","±15.5","3.5%","±3.0"
"PERCENT IMPUTED","","","","","","","",""
"    Means of transportation to work","7.3%","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Time leaving home to go to work","14.6%","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Travel time to work","9.0%","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Vehicles available","1.4%","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
