"Label (Grouping)","Cambridge city, Massachusetts!!Total!!Estimate","Cambridge city, Massachusetts!!Total!!Margin of Error","Cambridge city, Massachusetts!!Car, truck, or van -- drove alone!!Estimate","Cambridge city, Massachusetts!!Car, truck, or van -- drove alone!!Margin of Error","Cambridge city, Massachusetts!!Car, truck, or van -- carpooled!!Estimate","Cambridge city, Massachusetts!!Car, truck, or van -- carpooled!!Margin of Error","Cambridge city, Massachusetts!!Public transportation (excluding taxicab)!!Estimate","Cambridge city, Massachusetts!!Public transportation (excluding taxicab)!!Margin of Error"
"        Natural resources, construction, and maintenance occupations","0.9%","±0.5","1.2%","±0.9","3.9%","±4.9","0.0%","±1.0"
"        Production, transportation, and material moving occupations","3.3%","±1.2","6.8%","±3.7","8.0%","±12.3","1.3%","±1.0"
"        Military specific occupations","0.0%","±0.3","0.0%","±0.9","0.0%","±7.0","0.0%","±1.0"
"INDUSTRY","","","","","","","",""
"    Agriculture, forestry, fishing and hunting, and mining","0.2%","±0.3","0.0%","±0.9","0.0%","±7.0","0.0%","±1.0"
"    Construction","0.5%","±0.3","0.7%","±0.7","0.0%","±7.0","0.0%","±1.0"
"    Manufacturing","4.5%","±1.2","5.8%","±2.1","10.8%","±12.4","3.7%","±1.7"
"    Wholesale trade","1.5%","±0.7","2.4%","±2.0","2.1%","±3.4","1.2%","±1.0"
"    Retail trade","5.9%","±1.8","6.7%","±2.9","7.3%","±6.2","6.0%","±3.8"
"    Transportation and warehousing, and utilities","1.5%","±0.9","1.7%","±1.5","0.0%","±7.0","1.6%","±1.4"
"    Information and finance and insurance, and real estate and rental and leasing","10.8%","±2.0","10.9%","±3.3","13.3%","±11.0","15.7%","±4.6"
"    Professional, scientific, management, and administrative and waste management services","23.1%","±2.9","21.4%","±5.1","20.3%","±14.5","26.5%","±4.8"
"    Educational services, and health care and social assistance","39.4%","±2.6","32.2%","±4.6","36.8%","±17.3","36.2%","±5.8"
"    Arts, entertainment, and recreation, and accommodation and food services","5.4%","±1.5","5.9%","±2.6","7.6%","±7.0","4.2%","±2.7"
"    Other services (except public administration)","4.5%","±1.2","6.5%","±3.0","0.0%","±7.0","3.5%","±2.2"
"    Public administration","2.7%","±0.8","5.7%","±2.1","1.9%","±3.2","1.4%","±1.0"
"    Armed forces","0.0%","±0.3","0.0%","±0.9","0.0%","±7.0","0.0%","±1.0"
"CLASS OF WORKER","","","","","","","",""
"    Private wage and salary workers","87.0%","±2.1","82.2%","±3.9","90.9%","±7.5","93.0%","±2.2"
"    Government workers","7.9%","±1.7","11.4%","±2.8","9.1%","±7.5","5.1%","±2.0"
"    Self-employed workers in own not incorporated business","4.9%","±1.1","5.8%","±2.0","0.0%","±7.0","1.8%","±1.1"
"    Unpaid family workers","0.3%","±0.3","0.6%","±1.0","0.0%","±7.0","0.0%","±1.0"
"PLACE OF WORK","","","","","","","",""
"    Worked in state of residence","98.9%","±0.6","98.1%","±1.6","97.6%","±4.1","99.3%","±0.9"
"        Worked in county of residence","64.8%","±3.0","64.4%","±5.1","73.5%","±14.8","31.1%","±5.5"
"        Worked outside county of residence","34.0%","±3.0","33.6%","±5.1","24.1%","±14.2","68.2%","±5.6"
"    Worked outside state of residence","1.1%","±0.6","1.9%","±1.6","2.4%","±4.1","0.7%","±0.9"
"Workers 16 years and over who did not work at home","55,911","±2,695","18,278","±1,977","2,337","±777","16,367","±1,800"
"    TIME LEAVING HOME TO GO TO WORK","","","","","","","",""
"        12:00 a.m. to 4:59 a.m.","0.6%","±0.5","1.4%","±1.5","0.0%","±7.0","0.0%","±1.0"
"        5:00 a.m. to 5:29 a.m.","0.4%","±0.2","0.8%","±0.6","0.0%","±7.0","0.3%","±0.5"
"        5:30 a.m. to 5:59 a.m.","2.1%","±1.0","2.6%","±1.9","25.2%","±17.5","0.3%","±0.5"
"        6:00 a.m. to 6:29 a.m.","3.3%","±1.2","6.3%","±2.7","0.0%","±7.0","3.3%","±2.2"
"        6:30 a.m. to 6:59 a.m.","4.5%","±1.1","5.4%","±2.0","8.5%","±8.7","4.4%","±2.4"
"        7:00 a.m. to 7:29 a.m.","8.4%","±1.9","12.4%","±3.9","14.5%","±11.3","7.9%","±2.9"
"        7:30 a.m. to 7:59 a.m.","9.7%","±1.7","14.5%","±3.4","16.5%","±11.8","7.8%","±2.7"
"        8:00 a.m. to 8:29 a.m.","21.1%","±2.7","23.7%","±4.9","10.9%","±8.9","27.0%","±5.7"
"        8:30 a.m. to 8:59 a.m.","13.4%","±1.9","7.4%","±2.8","0.0%","±7.0","19.4%","±4.2"
"        9:00 a.m. to 11:59 p.m.","36.6%","±3.1","25.4%","±3.9","24.5%","±13.0","29.7%","±5.4"
"TRAVEL TIME TO WORK","","","","","","","",""
"    Less than 10 minutes","11.8%","±2.4","8.9%","±2.7","1.2%","±2.0","0.0%","±1.0"
"    10 to 14 minutes","15.5%","±2.1","12.5%","±2.9","19.1%","±12.1","2.5%","±2.0"
"    15 to 19 minutes","14.8%","±2.0","14.8%","±3.8","31.5%","±16.9","3.5%","±1.5"
"    20 to 24 minutes","13.8%","±2.1","17.9%","±4.5","6.5%","±6.2","14.7%","±4.4"
"    25 to 29 minutes","6.4%","±1.5","7.0%","±2.3","3.0%","±4.1","10.4%","±4.4"
"    30 to 34 minutes","18.4%","±2.8","18.4%","±4.3","17.3%","±12.0","33.6%","±5.8"
"    35 to 44 minutes","7.9%","±1.6","10.6%","±3.5","5.4%","±4.9","12.5%","±3.5"
"    45 to 59 minutes","7.1%","±1.7","5.9%","±2.3","12.9%","±10.1","13.5%","±4.5"
"    60 or more minutes","4.2%","±1.3","4.0%","±2.3","3.0%","±4.1","9.2%","±3.7"
"    Mean travel time to work (minutes)","23.5","±0.9","24.1","±1.5","24.9","±5.3","34.0","±1.9"
"Workers 16 years and over in households","51,416","±2,751","17,654","±1,928","1,970","±736","16,103","±1,789"
"    HOUSING TENURE","","","","","","","",""
"        Owner-occupied housing units","37.5%","±3.7","46.8%","±5.7","40.0%","±17.0","27.5%","±5.2"
"        Renter-occupied housing units","62.5%","±3.7","53.2%","±5.7","60.0%","±17.0","72.5%","±5.2"
"VEHICLES AVAILABLE","","","","","","","",""
"    No vehicle available","20.9%","±2.8","2.2%","±1.4","2.9%","±4.8","39.4%","±6.2"
"    1 vehicle available","48.4%","±3.9","50.7%","±5.6","44.5%","±21.9","44.4%","±6.3"
"    2 vehicles available","22.2%","±2.9","33.8%","±5.2","47.1%","±20.9","12.4%","±3.8"
"    3 or more vehicles available","8.5%","±2.6","13.3%","±4.9","5.5%","±6.4","3.8%","±2.2"
"PERCENT IMPUTED","","","","","","","",""
"    Means of transportation to work","12.1%","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Time leaving home to go to work","19.1%","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Travel time to work","14.0%","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Vehicles available","1.5%","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
