"Label (Grouping)","Cambridge city, Massachusetts!!Total!!Estimate","Cambridge city, Massachusetts!!Total!!Margin of Error","Cambridge city, Massachusetts!!Car, truck, or van -- drove alone!!Estimate","Cambridge city, Massachusetts!!Car, truck, or van -- drove alone!!Margin of Error","Cambridge city, Massachusetts!!Car, truck, or van -- carpooled!!Estimate","Cambridge city, Massachusetts!!Car, truck, or van -- carpooled!!Margin of Error","Cambridge city, Massachusetts!!Public transportation (excluding taxicab)!!Estimate","Cambridge city, Massachusetts!!Public transportation (excluding taxicab)!!Margin of Error"
"        Government workers","8.5%","±1.7","9.0%","±2.7","16.1%","±11.5","11.1%","±4.0"
"        Self-employed workers in own not incorporated business","4.8%","±1.3","3.4%","±2.1","3.4%","±3.3","2.0%","±1.7"
"        Unpaid family workers","0.1%","±0.1","0.0%","±1.0","0.0%","±6.0","0.2%","±0.3"
"    PLACE OF WORK","","","","","","","",""
"        Worked in state of residence","98.6%","±1.0","96.0%","±3.3","96.3%","±5.2","99.6%","±0.5"
"            Worked in county of residence","63.5%","±2.8","58.4%","±5.5","51.5%","±12.5","39.1%","±5.1"
"            Worked outside county of residence","35.1%","±2.8","37.6%","±5.7","44.7%","±12.5","60.5%","±5.0"
"        Worked outside state of residence","1.4%","±1.0","4.0%","±3.3","3.7%","±5.2","0.4%","±0.5"
"Workers 16 years and over who did not work from home","66,444","±3,057","18,961","±2,665","3,131","±1,014","20,749","±2,543"
"    TIME OF DEPARTURE TO GO TO WORK","","","","","","","",""
"        12:00 a.m. to 4:59 a.m.","0.7%","±0.5","0.4%","±0.6","8.7%","±7.8","0.6%","±0.7"
"        5:00 a.m. to 5:29 a.m.","0.7%","±0.5","0.6%","±0.6","0.0%","±6.0","1.5%","±1.4"
"        5:30 a.m. to 5:59 a.m.","0.5%","±0.4","0.9%","±0.9","0.0%","±6.0","0.3%","±0.4"
"        6:00 a.m. to 6:29 a.m.","4.1%","±1.2","7.9%","±3.1","3.2%","±3.9","4.3%","±2.2"
"        6:30 a.m. to 6:59 a.m.","3.1%","±1.2","4.4%","±2.2","8.6%","±7.2","3.8%","±2.7"
"        7:00 a.m. to 7:29 a.m.","11.7%","±2.0","21.9%","±5.3","16.3%","±11.3","10.0%","±3.0"
"        7:30 a.m. to 7:59 a.m.","10.1%","±1.8","11.0%","±2.9","5.5%","±5.1","15.1%","±4.4"
"        8:00 a.m. to 8:29 a.m.","18.9%","±2.6","18.2%","±4.3","15.3%","±10.5","24.8%","±6.0"
"        8:30 a.m. to 8:59 a.m.","16.5%","±2.2","9.7%","±3.1","2.7%","±4.8","19.3%","±4.6"
"        9:00 a.m. to 11:59 p.m.","33.6%","±3.1","25.1%","±5.3","39.8%","±13.0","20.3%","±4.7"
"    TRAVEL TIME TO WORK","","","","","","","",""
"        Less than 10 minutes","8.7%","±1.4","5.9%","±2.7","1.5%","±3.0","0.7%","±0.8"
"        10 to 14 minutes","10.5%","±2.1","8.0%","±3.0","11.5%","±6.4","1.3%","±1.4"
"        15 to 19 minutes","12.8%","±2.0","10.6%","±3.7","18.2%","±10.7","2.5%","±1.7"
"        20 to 24 minutes","14.8%","±2.7","17.8%","±6.3","13.6%","±11.5","9.0%","±4.2"
"        25 to 29 minutes","6.9%","±1.8","8.7%","±3.9","13.8%","±12.9","6.9%","±2.9"
"        30 to 34 minutes","17.2%","±2.6","14.4%","±3.3","11.0%","±10.0","30.0%","±5.9"
"        35 to 44 minutes","14.3%","±2.3","15.5%","±4.3","9.5%","±7.3","25.8%","±6.3"
"        45 to 59 minutes","10.6%","±1.8","14.0%","±3.8","8.0%","±6.4","17.8%","±4.4"
"        60 or more minutes","4.3%","±1.5","5.1%","±3.5","12.9%","±9.1","6.0%","±4.2"
"        Mean travel time to work (minutes)","26.8","±1.1","29.3","±2.2","29.0","±4.5","35.4","±1.8"
"Workers 16 years and over in households","63,911","±3,306","18,545","±2,709","2,609","±855","20,115","±2,501"
"    HOUSING TENURE","","","","","","","",""
"        Owner-occupied housing units","31.9%","±3.3","39.3%","±6.3","57.4%","±18.4","23.0%","±5.3"
"        Renter-occupied housing units","68.1%","±3.3","60.7%","±6.3","42.6%","±18.4","77.0%","±5.3"
"    VEHICLES AVAILABLE","","","","","","","",""
"        No vehicle available","26.9%","±3.9","2.3%","±1.9","11.5%","±7.7","41.0%","±7.4"
"        1 vehicle available","44.6%","±4.3","46.4%","±7.3","57.2%","±16.4","39.8%","±6.8"
"        2 vehicles available","25.0%","±4.5","44.4%","±7.7","24.4%","±13.5","17.9%","±7.0"
"        3 or more vehicles available","3.5%","±1.6","6.9%","±4.1","6.9%","±7.1","1.3%","±1.2"
"PERCENT ALLOCATED","","","","","","","",""
"    Means of transportation to work","14.8%","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Time of departure to go to work","24.5%","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Travel time to work","17.7%","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Vehicles available","2.0%","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
